Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
05-11-2025 09:00,BMSTL,72.3,79.5,72.2,79.5,7006912.0,0.0,7.2,1.38,421.74,7.2,3640874.1,92.45,0.0,True,74.33,1.9,1.4,0.51,2025-11-05,9.96,0,,62.4,ATH,False,False
05-11-2025 09:00,BIENY,40.2,43.98,40.0,43.36,10704062.0,0.62,3.16,0.19,1598.92,3.16,4696049.9,127.94,0.2,True,63.4,-0.14,0.35,-0.49,2025-11-05,8.13,0,,39.14,51.1,True,False
05-11-2025 09:00,OTKAR,469.75,497.75,462.25,497.0,894326.0,0.75,27.25,5.48,397.72,27.25,494727.3,80.77,0.03,True,60.74,-6.22,7.37,-13.59,2025-11-05,5.58,0,,410.0,569.0,False,False
05-11-2025 09:00,CCOLA,52.5,55.05,52.5,54.95,19873201.0,0.1,2.45,0.34,631.34,2.45,9332231.2,112.95,0.04,True,76.08,1.47,0.45,1.03,2025-11-05,5.37,0,,45.44,ATH,False,False
05-11-2025 09:00,ULAS,31.94,35.12,30.64,35.1,1117998.0,0.02,3.16,0.67,371.64,3.16,615515.2,81.64,0.01,True,64.56,1.57,0.3,1.27,2025-11-05,9.89,0,,25.66,ATH,False,False
05-11-2025 09:00,GESAN,47.42,50.7,46.98,49.8,8354841.0,0.9,2.38,0.49,387.7,2.38,4836454.8,72.75,0.38,True,69.38,0.82,0.73,0.09,2025-11-05,5.02,0,,41.48,52.65,False,False
05-11-2025 09:00,MEPET,16.99,18.68,16.55,18.68,1534091.0,0.0,1.69,0.27,516.79,1.69,630539.5,143.3,0.0,True,69.49,0.44,0.16,0.28,2025-11-05,9.95,0,,14.71,20.48,False,False
05-11-2025 09:00,BLCYT,25.8,28.38,25.0,28.38,6508525.0,0.0,2.58,0.53,390.49,2.58,1929707.0,237.28,0.0,True,68.02,0.54,0.26,0.28,2025-11-05,10.0,0,,22.5,28.98,False,False
05-11-2025 09:00,PAPIL,17.39,19.12,17.2,19.12,51250635.0,0.0,1.73,0.25,581.1,1.73,24457162.9,109.55,0.0,True,66.85,0.02,0.43,-0.41,2025-11-05,9.95,0,,15.01,19.6,False,False
05-11-2025 09:00,RYSAS,15.1,15.77,14.94,15.76,19860488.0,0.01,0.66,0.02,2650.0,0.66,6233571.8,218.61,0.02,True,58.21,-0.01,0.14,-0.15,2025-11-05,5.07,0,,13.45,16.27,False,False
05-11-2025 09:00,TATEN,81.3,89.2,80.65,88.4,5634337.0,0.8,7.1,0.65,1000.78,7.1,2475472.6,127.61,0.11,True,66.61,3.22,-0.31,3.53,2025-11-05,8.8,0,,75.85,90.5,False,False
05-11-2025 09:00,TTKOM,52.7,55.0,52.6,55.0,112588006.0,0.0,2.3,0.23,887.12,2.3,31677971.2,255.41,0.0,True,61.79,0.0,0.31,-0.31,2025-11-05,10.0,0,,47.48,61.9,False,False
05-11-2025 09:00,YBTAS,25.86,27.34,25.86,27.34,464907.0,0.0,1.48,0.26,469.23,1.48,215527.3,115.71,0.0,True,58.6,-1.35,0.78,-2.13,2025-11-05,9.98,0,,20.6,47.42,True,False
05-11-2025 09:00,AGESA,210.7,224.3,207.0,223.0,981940.0,1.3,12.3,2.04,502.94,12.3,485352.9,102.31,0.11,True,74.95,9.09,1.25,7.84,2025-11-05,5.84,0,,152.9,ATH,False,False
05-11-2025 09:00,RGYAS,148.0,155.0,147.7,155.0,920132.0,0.0,7.0,0.43,1527.91,7.0,550193.1,67.24,0.0,True,58.08,1.59,0.1,1.5,2025-11-05,4.73,0,,142.9,156.9,False,False
05-11-2025 09:00,BASGZ,42.0,44.4,41.62,44.16,1906282.0,0.24,2.16,0.46,367.53,2.16,1209297.3,57.64,0.11,True,72.56,1.45,0.26,1.19,2025-11-05,5.75,0,,37.46,ATH,False,False
05-11-2025 09:00,FORTE,74.7,78.55,73.5,78.5,2136562.0,0.05,3.8,0.51,645.1,3.8,1324273.3,61.34,0.01,True,58.8,0.87,0.3,0.57,2025-11-05,6.8,0,,64.55,83.25,False,False
