Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
04-07-2025 09:00,EGGUB,95.65,103.5,95.5,103.2,1714048.0,0.3,7.55,0.57,1213.04,7.55,964001.1,77.81,0.04,True,70.14,2025-07-04,7.95,0,,70.2,ATH,False,False
04-07-2025 09:00,SELGD,55.95,61.6,54.75,61.6,547208.0,0.0,5.65,0.78,624.36,5.65,269235.2,103.25,0.0,True,68.98,2025-07-04,10.0,0,,48.1,ATH,False,False
04-07-2025 09:00,VSNMD,362.75,443.25,362.75,443.25,1365214.0,0.0,80.5,11.85,579.32,80.5,885776.6,54.13,0.0,True,47.59,2025-07-04,9.99,0,,180.0,ATH,False,False
04-07-2025 09:00,ARZUM,4.59,4.83,4.59,4.83,37232570.0,0.0,0.24,0.04,531.58,0.24,12640591.7,194.55,0.0,True,73.03,2025-07-04,5.46,0,,3.97,ATH,False,False
04-07-2025 09:00,BAKAB,30.5,32.5,30.02,32.5,1612098.0,0.0,2.0,0.14,1288.89,2.0,576641.5,179.57,0.0,True,65.39,2025-07-04,6.91,0,,27.56,34.9,False,False
04-07-2025 09:00,INDES,6.62,6.89,6.56,6.88,10287218.0,0.01,0.26,0.05,420.0,0.26,6816311.0,50.92,0.04,True,62.62,2025-07-04,4.08,0,,5.88,7.63,False,False
04-07-2025 09:00,TMPOL,75.85,81.75,74.0,80.25,503718.0,1.5,4.4,0.9,391.62,4.4,262503.5,91.89,0.34,True,62.96,2025-07-04,7.0,0,,65.25,107.5,False,False
04-07-2025 09:00,BNTAS,7.0,7.5,6.81,7.45,11541717.0,0.05,0.45,0.05,749.06,0.45,6457285.7,78.74,0.11,True,62.97,2025-07-04,6.58,0,,6.05,7.96,False,False
04-07-2025 09:00,HATSN,39.24,42.6,38.7,42.06,4858319.0,0.54,2.82,0.31,809.68,2.82,1748240.2,177.9,0.19,True,70.06,2025-07-04,7.19,0,,34.5,44.04,False,False
04-07-2025 09:00,MARKA,50.0,51.8,49.7,51.75,1340674.0,0.05,1.75,0.18,877.65,1.75,811203.7,65.27,0.03,True,55.92,2025-07-04,4.12,0,,47.16,54.85,True,False
04-07-2025 09:00,ALKIM,15.81,17.25,15.6,17.19,6237324.0,0.06,1.38,0.19,637.97,1.38,2045255.8,204.97,0.04,True,73.83,2025-07-04,9.07,0,,13.15,18.19,False,False
04-07-2025 09:00,DEVA,59.4,62.2,58.65,62.0,1165173.0,0.2,2.6,0.69,274.1,2.6,574872.8,102.68,0.08,True,72.9,2025-07-04,5.0,0,,51.0,72.35,False,False
