Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
04-03-2025 10:00,ZRGYO,19.05,19.34,19.01,19.26,1130203.0,0.08,0.21,0.04,388.37,0.21,492313.8,129.57,0.38,True,77.08,2025-03-04,18.9,1.9,0,,16.31,ATH,False,False
04-03-2025 10:00,ARENA,45.42,47.06,45.34,46.9,1064511.0,0.16,1.48,0.3,393.33,1.48,325077.5,227.46,0.11,True,63.78,2025-03-04,45.68,2.67,0,,44.12,49.24,False,False
04-03-2025 10:00,ALTIN,35.85,36.39,35.75,36.33,8994471.0,0.06,0.48,0.12,310.26,0.48,2858874.2,214.62,0.13,True,79.12,2025-03-04,35.75,1.62,0,,34.37,36.75,False,False
04-03-2025 10:00,BINBN,113.0,118.4,112.5,118.0,244125.0,0.4,5.0,0.72,594.44,5.0,71443.1,241.71,0.08,True,75.22,2025-03-04,112.8,4.61,0,,98.25,119.6,False,False
04-03-2025 10:00,BIOEN,15.55,16.44,15.34,16.34,3327485.0,0.1,0.79,0.08,900.0,0.79,426159.1,680.81,0.13,True,82.42,2025-03-04,15.5,5.42,0,,15.25,ATH,False,False
04-03-2025 10:00,BULGS,21.94,23.84,21.4,23.36,42241028.0,0.48,1.42,0.28,400.0,1.42,16229203.5,160.28,0.34,True,76.93,2025-03-04,21.68,7.75,0,,19.7,ATH,False,False
04-03-2025 10:00,DGNMO,6.88,6.99,6.76,6.96,485912.0,0.03,0.08,0.02,433.33,0.08,187564.9,159.06,0.38,True,63.9,2025-03-04,6.88,1.16,0,,6.82,7.0,False,False
04-03-2025 10:00,ENTRA,8.68,8.99,8.68,8.95,11772959.0,0.04,0.27,0.05,419.23,0.27,4594376.5,156.25,0.15,True,76.93,2025-03-04,8.68,3.11,0,,8.2,ATH,False,False
04-03-2025 10:00,GRTHO,245.0,250.0,243.4,249.5,147929.0,0.5,4.5,0.33,1263.64,4.5,59956.4,146.73,0.11,True,67.46,2025-03-04,244.6,2.0,0,,229.7,249.7,False,False
04-03-2025 10:00,IPEKE,53.95,55.05,53.8,54.95,826178.0,0.1,1.0,0.1,852.38,1.0,370436.4,123.03,0.1,True,59.81,2025-03-04,53.75,2.23,0,,52.4,55.5,False,False
04-03-2025 10:00,AVOD,2.96,3.03,2.95,3.03,2913794.0,0.0,0.07,0.02,337.5,0.07,1323590.9,120.14,0.0,True,82.17,2025-03-04,2.96,2.36,0,,2.76,ATH,False,False
04-03-2025 10:00,KOZAA,69.1,70.1,69.1,69.95,963146.0,0.15,0.85,0.16,431.25,0.85,544831.6,76.78,0.18,True,60.18,2025-03-04,69.1,1.23,0,,66.6,77.35,False,False
04-03-2025 10:00,PAPIL,14.7,15.76,14.47,15.56,11613563.0,0.2,0.86,0.12,599.19,0.86,2693092.1,331.24,0.23,True,78.94,2025-03-04,14.49,7.38,0,,13.7,ATH,False,False
