Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
21-07-2025 10:00,HATSN,43.54,45.7,43.54,45.54,546033.0,0.16,2.0,0.32,528.93,2.0,244985.1,122.88,0.08,True,83.18,2025-07-21,42.82,6.35,0,,40.08,ATH,False,False
21-07-2025 10:00,YESIL,1.85,1.93,1.85,1.93,11450690.0,0.0,0.08,0.01,1233.33,0.08,6253383.6,83.11,0.0,True,61.29,2025-07-21,1.83,5.46,0,,1.8,1.94,False,False
21-07-2025 10:00,SISE,36.78,37.54,36.78,37.46,7451030.0,0.08,0.68,0.09,690.7,0.68,2426274.9,207.1,0.12,True,80.58,2025-07-21,36.3,3.2,0,,34.98,ATH,False,False
21-07-2025 10:00,SMART,25.62,26.56,25.62,26.34,234183.0,0.22,0.72,0.08,757.14,0.72,110202.6,112.5,0.31,True,77.12,2025-07-21,25.6,2.89,0,,23.98,ATH,False,False
21-07-2025 10:00,GOKNR,24.32,24.58,24.26,24.54,458709.0,0.04,0.22,0.02,1275.0,0.22,249653.1,83.74,0.18,True,64.56,2025-07-21,24.12,1.74,0,,24.0,24.78,False,False
21-07-2025 10:00,TCKRC,39.18,39.96,39.1,39.9,308045.0,0.06,0.72,0.13,437.31,0.72,158063.8,94.89,0.08,True,70.69,2025-07-21,39.18,1.84,0,,34.78,40.0,False,False
21-07-2025 10:00,SEGYO,4.31,4.37,4.31,4.36,1765481.0,0.01,0.05,0.01,455.56,0.05,1014493.1,74.03,0.2,True,65.21,2025-07-21,4.3,1.4,0,,4.23,4.53,False,False
21-07-2025 10:00,KRDMD,26.02,26.3,26.0,26.3,5700992.0,0.0,0.28,0.02,1172.73,0.28,3252186.4,75.3,0.0,True,71.49,2025-07-21,25.66,2.49,0,,24.24,26.36,False,False
21-07-2025 10:00,KRDMB,25.78,26.18,25.78,26.18,210928.0,0.0,0.4,0.04,1011.11,0.4,112048.1,88.25,0.0,True,62.63,2025-07-21,25.68,1.95,0,,25.1,28.32,False,False
21-07-2025 10:00,YYAPI,1.72,1.79,1.72,1.78,24034971.0,0.01,0.06,0.01,757.14,0.06,9025497.0,166.3,0.17,True,61.27,2025-07-21,1.71,4.09,0,,1.68,1.86,False,False
21-07-2025 10:00,ISCTR,14.7,14.84,14.69,14.82,42562724.0,0.02,0.12,0.01,990.91,0.12,25068169.1,69.79,0.17,True,67.26,2025-07-21,14.58,1.65,0,,13.82,15.19,False,False
18-07-2025 17:00,KRSTL,7.47,7.58,7.46,7.56,2011213.0,0.02,0.09,0.01,800.0,0.09,687911.6,192.37,0.22,True,66.56,2025-07-18,7.42,1.89,0,,7.32,ATH,False,False
18-07-2025 17:00,ALKLC,57.15,58.5,57.0,58.25,549548.0,0.25,1.1,0.15,609.68,1.1,195247.9,181.46,0.23,True,70.46,2025-07-18,56.95,2.28,0,,47.32,ATH,False,False
18-07-2025 17:00,INDES,7.22,7.3,7.21,7.29,927418.0,0.01,0.07,0.01,775.0,0.07,380089.4,144.0,0.14,True,67.77,2025-07-18,7.2,1.25,0,,7.12,ATH,False,False
18-07-2025 17:00,BORLS,16.0,16.81,15.94,16.81,5184655.0,0.0,0.81,0.11,629.73,0.81,1914687.9,170.78,0.0,True,10.98,2025-07-18,63.45,-73.51,0,,15.46,64.45,False,False
18-07-2025 17:00,PENGD,9.24,9.52,9.2,9.52,7388138.0,0.0,0.28,0.08,245.68,0.28,2248369.7,228.6,0.0,True,81.27,2025-07-18,8.66,9.93,0,,8.05,9.55,False,False
18-07-2025 17:00,FENER,14.05,14.59,14.03,14.46,30835112.0,0.13,0.41,0.04,876.19,0.41,7305296.5,322.09,0.32,True,66.34,2025-07-18,14.03,3.06,0,,13.66,14.88,False,False
18-07-2025 17:00,ZRGYO,23.06,23.34,23.06,23.3,566244.0,0.04,0.24,0.02,990.91,0.24,140022.5,304.4,0.17,True,60.0,2025-07-18,23.14,0.69,0,,23.02,23.36,False,False
18-07-2025 17:00,IZENR,7.14,7.3,7.12,7.3,12477970.0,0.0,0.16,0.01,2566.67,0.16,5224945.0,138.82,0.0,True,69.41,2025-07-18,7.25,0.69,0,,6.73,ATH,False,False
18-07-2025 17:00,ENKAI,63.95,65.65,63.85,65.3,4869049.0,0.35,1.35,0.15,770.97,1.35,1092437.2,345.71,0.26,True,70.54,2025-07-18,64.05,1.95,0,,62.1,65.65,False,False
18-07-2025 17:00,ELITE,33.9,34.6,33.76,34.6,518677.0,0.0,0.7,0.05,1246.15,0.7,133812.0,287.62,0.0,True,68.95,2025-07-18,33.9,2.06,0,,33.52,ATH,False,False
18-07-2025 17:00,SEGMN,24.12,24.46,24.1,24.46,545412.0,0.0,0.34,0.03,1033.33,0.34,246597.0,121.18,0.0,True,64.33,2025-07-18,23.94,2.17,0,,23.24,24.9,False,False
18-07-2025 17:00,DMSAS,6.95,7.0,6.93,6.99,543893.0,0.01,0.04,0.0,1900.0,0.04,248896.9,118.52,0.25,True,56.27,2025-07-18,6.95,0.58,0,,6.9,7.15,False,False
18-07-2025 16:00,FONET,14.95,15.32,14.95,15.29,2627363.0,0.03,0.34,0.05,623.4,0.34,640226.6,310.38,0.09,True,74.58,2025-07-18,14.83,3.1,0,,14.46,ATH,False,False
18-07-2025 16:00,IHLAS,2.78,2.93,2.78,2.89,57404587.0,0.04,0.11,0.01,1733.33,0.11,20665956.3,177.77,0.36,True,62.05,2025-07-18,2.79,3.58,0,,2.74,2.98,False,False
18-07-2025 16:00,MIATK,30.88,31.18,30.84,31.1,1490935.0,0.08,0.22,0.01,1471.43,0.22,777694.0,91.71,0.36,True,57.04,2025-07-18,31.0,0.32,0,,30.0,31.94,False,False
18-07-2025 16:00,CRDFA,13.94,15.5,13.88,15.18,1049579.0,0.32,1.24,0.06,1966.67,1.24,270004.9,288.73,0.26,True,68.48,2025-07-18,14.3,6.15,0,,13.75,ATH,False,False
18-07-2025 16:00,OFSYM,54.2,55.75,54.1,55.7,304456.0,0.05,1.5,0.2,669.23,1.5,185943.6,63.74,0.03,True,67.91,2025-07-18,53.6,3.92,0,,51.2,ATH,False,False
18-07-2025 16:00,DURDO,3.29,3.32,3.28,3.32,1335366.0,0.0,0.03,0.01,328.57,0.03,428461.3,211.67,0.0,True,64.88,2025-07-18,3.26,1.84,0,,3.21,3.35,False,False
18-07-2025 16:00,KNFRT,14.27,14.76,14.26,14.66,1368542.0,0.1,0.39,0.04,786.36,0.39,429194.3,218.86,0.26,True,74.64,2025-07-18,14.16,3.53,0,,13.78,ATH,False,False
18-07-2025 16:00,EDATA,4.38,4.45,4.38,4.44,3397701.0,0.01,0.06,0.02,300.0,0.06,1162811.6,192.2,0.17,True,73.87,2025-07-18,4.27,3.98,0,,4.25,ATH,False,False
18-07-2025 16:00,CWENE,16.77,17.39,16.74,17.23,3808976.0,0.16,0.46,0.03,1383.87,0.46,1051248.6,262.33,0.35,True,66.7,2025-07-18,16.78,2.68,0,,16.6,17.79,False,False
18-07-2025 16:00,DAPGM,9.27,9.52,9.25,9.46,3562307.0,0.06,0.19,0.01,2011.11,0.19,1614100.2,120.7,0.32,True,69.51,2025-07-18,9.44,0.21,0,,8.63,9.57,False,False
18-07-2025 16:00,PRKAB,31.2,31.68,31.12,31.58,189937.0,0.1,0.38,0.04,900.0,0.38,68803.2,176.06,0.26,True,59.22,2025-07-18,31.18,1.28,0,,30.36,31.8,False,False
18-07-2025 15:00,HATEK,16.32,17.05,16.31,16.92,1773004.0,0.13,0.6,0.07,782.35,0.6,409546.7,332.92,0.22,True,64.1,2025-07-18,16.39,3.23,0,,16.19,17.55,False,False
18-07-2025 15:00,KBORU,11.98,12.11,11.96,12.09,956439.0,0.02,0.11,0.01,1471.43,0.11,514020.9,86.07,0.18,True,58.62,2025-07-18,12.04,0.42,0,,11.66,12.15,False,False
18-07-2025 15:00,EKOS,22.1,23.1,22.0,22.9,1744824.0,0.2,0.8,0.14,463.38,0.8,653074.2,167.17,0.25,True,79.94,2025-07-18,21.34,7.31,0,,21.14,ATH,False,False
18-07-2025 15:00,KRONT,11.57,11.78,11.53,11.74,730897.0,0.04,0.17,0.01,1316.67,0.17,416000.8,75.7,0.24,True,53.36,2025-07-18,11.68,0.51,0,,11.46,11.84,False,False
18-07-2025 15:00,INVEO,9.41,9.85,9.38,9.74,3295180.0,0.11,0.33,0.01,4614.29,0.33,1821279.2,80.93,0.33,True,60.04,2025-07-18,9.44,3.18,0,,9.17,10.08,False,False
18-07-2025 15:00,EUREN,5.9,5.97,5.9,5.96,9809053.0,0.01,0.06,0.01,500.0,0.06,5086802.9,92.83,0.17,True,70.95,2025-07-18,5.84,2.05,0,,5.67,ATH,False,False
18-07-2025 15:00,MAGEN,36.18,37.08,36.16,36.92,1045634.0,0.16,0.74,0.07,927.78,0.74,669587.6,56.16,0.22,True,64.06,2025-07-18,35.56,3.82,0,,35.42,37.24,False,False
18-07-2025 15:00,GOZDE,19.67,20.38,19.64,20.24,2215236.0,0.14,0.57,0.16,258.49,0.57,840108.1,163.68,0.25,True,84.83,2025-07-18,18.65,8.53,0,,17.84,ATH,False,False
18-07-2025 15:00,EPLAS,5.42,5.58,5.36,5.55,2134074.0,0.03,0.13,0.03,400.0,0.13,536950.9,297.44,0.23,True,78.69,2025-07-18,5.31,4.52,0,,5.25,ATH,False,False
18-07-2025 15:00,GEDIK,14.41,14.86,14.37,14.86,1522176.0,0.0,0.45,0.1,363.92,0.45,999125.5,52.35,0.0,True,75.76,2025-07-18,13.51,9.99,0,,12.85,ATH,False,False
18-07-2025 15:00,MNDRS,11.7,11.77,11.65,11.77,575817.0,0.0,0.07,0.01,1300.0,0.07,294130.7,95.77,0.0,True,61.44,2025-07-18,11.79,-0.17,0,,11.2,ATH,False,False
18-07-2025 15:00,AKFIS,21.98,22.76,21.98,22.58,9397433.0,0.18,0.6,0.05,1053.85,0.6,1628917.9,476.91,0.3,True,75.32,2025-07-18,21.98,2.73,0,,21.4,ATH,False,False
18-07-2025 15:00,POLHO,4.02,4.11,4.0,4.1,7879091.0,0.01,0.08,0.01,700.0,0.08,3196838.5,146.47,0.13,True,70.56,2025-07-18,4.0,2.5,0,,3.82,4.2,False,False
18-07-2025 15:00,ANSGR,93.7,95.0,93.6,94.9,443020.0,0.1,1.2,0.35,242.86,1.2,253933.4,74.46,0.08,True,72.63,2025-07-18,92.0,3.15,0,,90.0,97.4,False,False
18-07-2025 14:00,AVPGY,66.35,67.5,66.2,67.2,176900.0,0.3,0.85,0.14,486.21,0.85,113279.4,56.16,0.35,True,64.26,2025-07-18,66.5,1.05,0,,63.65,67.65,False,False
18-07-2025 14:00,ESCOM,3.29,3.37,3.25,3.36,14869936.0,0.01,0.07,0.01,438.46,0.07,5483185.4,171.19,0.14,True,65.65,2025-07-18,3.21,4.67,0,,3.15,3.37,False,False
18-07-2025 14:00,SKYMD,13.33,13.55,13.27,13.54,2765879.0,0.01,0.21,0.02,854.55,0.21,1438775.6,92.24,0.05,True,72.95,2025-07-18,13.05,3.75,0,,12.93,ATH,False,False
18-07-2025 14:00,KOTON,15.01,15.24,15.01,15.2,1868409.0,0.04,0.19,0.03,603.7,0.19,535862.2,248.67,0.21,True,68.0,2025-07-18,15.04,1.06,0,,14.62,ATH,False,False
18-07-2025 14:00,PCILT,14.41,14.71,14.41,14.65,379547.0,0.06,0.24,0.03,627.27,0.24,148864.0,154.96,0.25,True,68.91,2025-07-18,14.36,2.02,0,,13.64,ATH,False,False
18-07-2025 14:00,AVOD,2.94,3.01,2.93,2.99,3919077.0,0.02,0.05,0.01,900.0,0.05,1036729.7,278.02,0.4,True,64.48,2025-07-18,2.95,1.36,0,,2.88,3.02,False,False
18-07-2025 14:00,HEDEF,11.33,12.3,11.33,12.22,3435132.0,0.08,0.89,0.08,985.37,0.89,623380.7,451.05,0.09,True,73.94,2025-07-18,11.25,8.62,0,,11.22,ATH,False,False
18-07-2025 14:00,LILAK,23.54,24.7,23.54,24.62,6367500.0,0.08,1.08,0.14,660.56,1.08,1239518.3,413.71,0.07,True,82.91,2025-07-18,23.4,5.21,0,,22.32,24.76,False,False
18-07-2025 13:00,IPEKE,59.9,61.3,59.75,61.15,749662.0,0.15,1.25,0.23,443.48,1.25,314019.0,138.73,0.12,True,74.28,2025-07-18,59.1,3.47,0,,57.3,ATH,False,False
18-07-2025 13:00,ECILC,45.48,46.86,45.46,46.7,1265532.0,0.16,1.22,0.16,662.5,1.22,647534.5,95.44,0.13,True,79.49,2025-07-18,45.28,3.14,0,,43.88,54.9,False,False
18-07-2025 13:00,KOZAL,23.9,24.24,23.86,24.22,13325745.0,0.02,0.32,0.06,471.43,0.32,6725913.1,98.13,0.06,True,66.25,2025-07-18,23.86,1.51,0,,23.14,24.72,False,False
18-07-2025 13:00,KAREL,8.25,8.37,8.24,8.34,1710564.0,0.03,0.09,0.01,800.0,0.09,942369.8,81.52,0.33,True,63.01,2025-07-18,8.22,1.46,0,,7.97,8.43,False,False
18-07-2025 13:00,KOZAA,83.15,85.2,82.85,84.65,1129141.0,0.55,1.5,0.3,400.0,1.5,571123.9,97.71,0.37,True,68.41,2025-07-18,82.5,2.61,0,,79.95,ATH,False,False
18-07-2025 12:00,DURKN,14.48,14.66,14.43,14.63,665706.0,0.03,0.15,0.04,265.85,0.15,417943.8,59.28,0.2,True,70.41,2025-07-18,14.3,2.31,0,,13.92,15.15,False,False
18-07-2025 12:00,KARSN,9.51,9.79,9.51,9.72,8281539.0,0.07,0.21,0.03,677.78,0.21,1973795.3,319.57,0.33,True,66.05,2025-07-18,9.6,1.25,1,9.79,9.19,9.79,False,False
18-07-2025 12:00,ADEL,28.5,28.84,28.36,28.78,264289.0,0.06,0.28,0.06,382.76,0.28,174110.4,51.79,0.21,True,64.98,2025-07-18,28.5,0.98,0,,27.84,28.92,False,False
18-07-2025 12:00,INFO,3.74,3.9,3.73,3.87,15004167.0,0.03,0.13,0.0,2.9273397577908186e+17,0.13,6956263.6,115.69,0.23,True,59.34,2025-07-18,3.83,1.04,2,3.73,3.73,3.99,False,False
18-07-2025 12:00,YKSLN,4.99,5.1,4.98,5.07,4799162.0,0.03,0.08,0.02,280.95,0.08,1253132.8,282.97,0.37,True,76.58,2025-07-18,4.94,2.63,0,,4.77,5.1,False,False
18-07-2025 12:00,ICUGS,2.88,3.01,2.86,2.98,47240801.0,0.03,0.1,0.01,614.29,0.1,10638190.4,344.07,0.3,True,73.07,2025-07-18,2.82,5.67,0,,2.79,ATH,False,False
