Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
28-01-2025 13:00,FORTE,51.8,52.65,51.7,52.5,237982.0,0.15,0.7,0.06,976.92,0.7,71850.2,231.22,0.21,True,58.33,2025-01-28,51.2,2.54,0,,51.85,52.9,True,False
28-01-2025 13:00,OBAMS,53.85,54.45,53.8,54.3,557011.0,0.15,0.45,0.04,1185.71,0.45,290100.5,92.01,0.33,True,64.44,2025-01-28,53.95,0.65,0,,51.0,54.5,False,False
28-01-2025 12:00,TOASO,207.5,211.3,207.2,211.2,807351.0,0.1,3.7,0.04,9150.0,3.7,364544.2,121.47,0.03,True,46.3,2025-01-28,209.0,1.05,0,,ATL,220.0,False,False
28-01-2025 12:00,TURSG,17.12,17.35,17.06,17.32,3578517.0,0.03,0.2,0.03,506.06,0.2,1444864.7,147.67,0.15,True,74.81,2025-01-28,16.85,2.79,0,,16.75,17.78,False,False
28-01-2025 12:00,KZBGY,5.43,5.52,5.43,5.51,6519309.0,0.01,0.08,0.0,3900.0,0.08,1362949.6,378.32,0.12,True,45.02,2025-01-28,5.48,0.55,0,,5.38,5.63,True,True
28-01-2025 11:00,TSKB,13.49,13.67,13.49,13.65,2780476.0,0.02,0.16,0.02,700.0,0.16,1144661.7,142.91,0.12,True,63.29,2025-01-28,13.47,1.34,0,,13.32,13.66,False,False
28-01-2025 11:00,FZLGY,31.34,31.98,31.28,31.98,190897.0,0.0,0.64,0.04,1500.0,0.64,100011.6,90.87,0.0,True,64.25,2025-01-28,31.32,2.11,0,,30.84,32.5,False,False
28-01-2025 11:00,CIMSA,55.05,56.55,54.6,56.15,4111329.0,0.4,1.1,0.0,21900.0,1.1,1579575.9,160.28,0.36,True,62.52,2025-01-28,56.5,-0.62,0,,49.84,56.85,False,False
28-01-2025 11:00,TKFEN,63.05,64.2,62.95,63.9,596154.0,0.3,0.85,0.04,2025.0,0.85,348371.7,71.13,0.35,True,55.02,2025-01-28,63.55,0.55,0,,62.55,65.4,False,False
28-01-2025 11:00,CEOEM,26.14,26.44,26.08,26.4,194656.0,0.04,0.26,0.02,1081.82,0.26,128955.0,50.95,0.15,True,61.14,2025-01-28,26.0,1.54,0,,25.8,26.44,False,False
28-01-2025 11:00,AHGAZ,19.56,19.84,19.56,19.8,346019.0,0.04,0.24,0.02,1400.0,0.24,200749.1,72.36,0.17,True,56.86,2025-01-28,19.54,1.33,0,,19.4,20.02,False,False
28-01-2025 11:00,SELVA,13.94,14.57,13.9,14.49,5127575.0,0.08,0.55,0.03,1864.29,0.55,940120.4,445.42,0.15,True,74.34,2025-01-28,13.75,5.38,0,,11.24,ATH,False,False
