Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
22-07-2025 10:00,TCKRC,40.62,41.58,40.62,41.54,270186.0,0.04,0.92,0.14,576.47,0.92,130080.6,107.71,0.04,True,81.95,2025-07-22,40.52,2.52,0,,34.78,ATH,False,False
22-07-2025 10:00,BIOEN,21.14,21.38,21.04,21.32,1028091.0,0.06,0.18,0.04,400.0,0.18,453065.2,126.92,0.33,True,56.48,2025-07-22,21.02,1.43,0,,20.16,21.5,False,False
22-07-2025 10:00,EFORC,132.1,134.4,131.0,133.8,744390.0,0.6,1.7,0.45,277.78,1.7,287374.8,159.03,0.35,True,58.31,2025-07-22,131.8,1.52,0,,125.8,134.3,False,False
22-07-2025 10:00,METUR,51.1,54.0,51.0,53.9,1622822.0,0.1,2.8,0.34,718.71,2.8,921990.6,76.01,0.04,True,75.91,2025-07-22,50.2,7.37,0,,39.0,ATH,False,False
22-07-2025 10:00,CELHA,25.82,26.98,25.74,26.98,545786.0,0.0,1.16,0.12,900.0,1.16,106209.4,413.88,0.0,True,97.29,2025-07-22,24.54,9.94,0,,19.8,ATH,False,False
22-07-2025 10:00,KCAER,14.21,14.78,14.2,14.65,4691581.0,0.13,0.44,0.06,609.68,0.44,1972281.5,137.88,0.3,True,89.68,2025-07-22,14.09,3.97,0,,12.98,ATH,False,False
22-07-2025 10:00,OSTIM,3.87,4.0,3.87,4.0,3299067.0,0.0,0.13,0.03,333.33,0.13,1671449.8,97.38,0.0,True,76.53,2025-07-22,3.82,4.71,0,,3.64,ATH,False,False
22-07-2025 10:00,HUBVC,2.56,2.71,2.5,2.69,2703928.0,0.02,0.13,0.03,282.35,0.13,1492768.7,81.14,0.15,True,79.58,2025-07-22,2.57,4.67,0,,2.22,ATH,False,False
22-07-2025 10:00,ICUGS,3.54,3.75,3.5,3.75,27633890.0,0.0,0.21,0.03,707.69,0.21,6118941.2,351.61,0.0,True,96.18,2025-07-22,3.41,9.97,0,,2.79,ATH,False,False
22-07-2025 10:00,MANAS,5.63,5.95,5.62,5.91,4249138.0,0.04,0.28,0.04,677.78,0.28,1369289.8,210.32,0.14,True,83.67,2025-07-22,5.58,5.91,0,,5.38,ATH,False,False
22-07-2025 10:00,YKSLN,5.19,5.28,5.16,5.28,1845451.0,0.0,0.09,0.01,1400.0,0.09,700814.5,163.33,0.0,True,78.7,2025-07-22,5.1,3.53,0,,4.77,ATH,False,False
21-07-2025 17:00,ISKPL,30.34,31.7,30.26,31.48,1587454.0,0.22,1.14,0.03,3462.5,1.14,351950.3,351.04,0.19,True,66.01,2025-07-21,30.96,1.68,0,,29.78,ATH,False,False
21-07-2025 17:00,HALKB,26.58,26.8,26.54,26.74,11040185.0,0.06,0.16,0.04,321.05,0.16,3843403.9,187.25,0.38,True,65.17,2025-07-21,26.26,1.83,0,,25.16,27.58,False,False
21-07-2025 17:00,TCELL,95.35,95.85,95.35,95.8,3408776.0,0.05,0.45,0.08,462.5,0.45,2230351.3,52.84,0.11,True,73.67,2025-07-21,94.55,1.32,0,,89.05,96.9,False,False
21-07-2025 17:00,ALTNY,90.65,94.95,90.6,94.0,5080005.0,0.95,3.35,0.37,817.81,3.35,1544989.7,228.81,0.28,True,73.99,2025-07-21,87.5,7.43,0,,86.75,ATH,False,False
21-07-2025 17:00,DAPGM,9.81,10.14,9.8,10.09,9641790.0,0.05,0.28,0.06,374.58,0.28,2985259.7,222.98,0.18,True,82.14,2025-07-21,9.48,6.43,0,,8.63,ATH,False,False
21-07-2025 17:00,YYLGD,10.18,10.27,10.16,10.25,2631989.0,0.02,0.07,0.02,233.33,0.07,1178538.1,123.33,0.29,True,74.94,2025-07-21,10.02,2.3,0,,10.0,ATH,False,False
