Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,rsi,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
13-12-2024 09:00,ADEL,35.2,37.64,34.76,37.62,7245144.0,0.02,2.42,0.22,980.36,2.42,2605682.5,178.05,True,53.29,2024-12-13,6.87,1,37.64,34.4,37.64,True,True
13-12-2024 09:00,ONCSM,95.7,105.2,94.95,105.2,1887323.0,0.0,9.5,0.47,1921.28,9.5,1064056.9,77.37,True,59.77,2024-12-13,9.93,2,94.95,94.95,105.9,False,False
12-12-2024 09:00,SKYMD,10.7,11.77,10.7,11.69,8223840.0,0.08,0.99,0.04,2575.68,0.99,2648172.4,210.55,True,68.76,2024-12-12,9.25,0,,10.57,ATH,False,False
12-12-2024 09:00,AKFYE,18.92,20.1,18.92,19.83,11456131.0,0.27,0.91,0.05,1585.19,0.91,7409521.6,54.61,True,64.91,2024-12-12,4.98,0,,16.79,ATH,False,False
12-12-2024 09:00,ATLAS,6.39,6.86,6.39,6.77,1808009.0,0.09,0.38,0.09,317.58,0.38,1018578.8,77.5,True,75.2,2024-12-12,5.95,0,,5.54,ATH,False,False
11-12-2024 09:00,IPEKE,53.5,58.85,53.25,58.85,12017069.0,0.0,5.35,0.55,863.96,5.35,7455228.5,61.19,True,77.14,2024-12-11,10.0,0,,32.78,ATH,False,False
11-12-2024 09:00,GSDDE,9.7,10.7,9.61,10.7,12112055.0,0.0,1.0,0.25,306.5,1.0,5958902.7,103.26,True,88.4,2024-12-11,9.97,0,,7.6,ATH,False,False
11-12-2024 09:00,DITAS,16.15,17.64,16.13,17.64,10035355.0,0.0,1.49,0.19,672.02,1.49,2517869.8,298.57,True,71.24,2024-12-11,9.98,0,,14.39,ATH,False,False
10-12-2024 09:00,ALCTL,122.6,127.2,121.3,126.4,1294784.0,0.8,3.8,0.3,1166.67,3.8,509096.9,154.33,True,61.83,2024-12-10,3.02,0,,100.4,131.2,False,False
10-12-2024 09:00,KRTEK,28.44,31.32,28.22,31.32,4950997.0,0.0,2.88,0.24,1120.34,2.88,1100683.3,349.81,True,64.73,2024-12-10,9.97,0,,27.04,31.62,False,False
10-12-2024 09:00,SNICA,5.71,6.15,5.69,6.04,42434916.0,0.11,0.33,0.06,415.62,0.33,20892084.2,103.11,True,72.61,2024-12-10,5.96,0,,5.06,ATH,False,False
10-12-2024 09:00,ENERY,276.0,281.75,276.0,280.75,630311.0,1.0,4.75,0.65,630.77,4.75,331391.9,90.2,True,69.73,2024-12-10,1.54,0,,218.7,281.0,False,False
10-12-2024 09:00,GRSEL,177.1,190.0,177.0,188.2,1952045.0,1.8,11.1,1.29,760.47,11.1,1165583.2,67.47,True,78.7,2024-12-10,6.27,0,,112.7,ATH,False,False
10-12-2024 09:00,DERHL,11.63,12.76,11.61,12.66,11681593.0,0.1,1.03,0.13,717.46,1.03,5157326.4,126.5,True,65.39,2024-12-10,8.95,0,,10.26,13.4,False,False
10-12-2024 09:00,CRFSA,108.7,114.8,106.8,114.8,1320047.0,0.0,6.1,0.9,577.78,6.1,451213.7,192.55,True,71.8,2024-12-10,5.81,0,,98.4,120.9,False,False
09-12-2024 09:00,YYLGD,11.2,11.88,11.16,11.82,16963506.0,0.06,0.62,0.14,330.56,0.62,10331651.9,64.19,True,76.34,2024-12-09,7.75,1,11.88,9.4,11.88,False,False
09-12-2024 09:00,GOLTS,501.0,525.0,501.0,519.5,1223891.0,5.5,18.5,2.38,678.95,18.5,590254.5,107.35,True,71.79,2024-12-09,7.67,0,,407.0,ATH,False,False
09-12-2024 09:00,BUCIM,8.44,8.89,8.41,8.85,49414571.0,0.04,0.41,0.1,301.96,0.41,11284980.3,337.88,True,83.02,2024-12-09,9.12,0,,6.22,ATH,False,False
09-12-2024 09:00,ISSEN,9.55,10.12,9.55,10.02,11958934.0,0.1,0.47,0.04,944.44,0.47,2641654.6,352.71,True,72.46,2024-12-09,5.36,0,,8.52,10.31,False,False
09-12-2024 09:00,IZMDC,5.67,6.06,5.67,6.05,21704392.0,0.01,0.38,0.04,850.0,0.38,8919488.3,143.34,True,76.44,2024-12-09,9.8,0,,5.05,ATH,False,False
09-12-2024 09:00,GLBMD,15.44,16.98,15.06,16.98,9889970.0,0.0,1.54,0.4,282.13,1.54,5178571.2,90.98,True,80.29,2024-12-09,9.97,0,,10.19,ATH,False,False
09-12-2024 09:00,KCAER,14.53,15.35,14.53,15.2,23523660.0,0.15,0.67,0.11,489.52,0.67,13692316.53,71.8,True,76.45,2024-12-09,5.7,0,,12.64,ATH,False,False
09-12-2024 09:00,BINHO,325.0,352.0,325.0,351.5,1312922.0,0.5,26.5,5.12,417.07,26.5,770805.1,70.33,True,70.48,2024-12-09,9.84,0,,271.25,411.0,False,False
09-12-2024 09:00,INTEM,232.5,248.5,232.5,244.1,284070.0,4.4,11.6,0.67,1631.34,11.6,89391.9,217.78,True,65.18,2024-12-09,6.59,1,248.5,205.9,248.5,False,False
09-12-2024 09:00,FRIGO,8.2,8.34,8.15,8.34,4952132.0,0.0,0.14,0.01,2700.0,0.14,3278776.1,51.04,True,56.95,2024-12-09,1.83,0,,7.95,8.99,False,False
09-12-2024 09:00,AKCNS,181.0,188.5,179.7,188.5,3621967.0,0.0,7.5,0.56,1239.29,7.5,840560.2,330.9,True,74.35,2024-12-09,9.98,0,,143.0,ATH,False,False
09-12-2024 09:00,EGEPO,24.32,26.14,24.3,26.0,2440919.0,0.14,1.68,0.3,452.63,1.68,1270759.8,92.08,True,75.82,2024-12-09,7.0,0,,16.66,ATH,False,False
09-12-2024 09:00,TATGD,13.57,13.91,12.9,13.91,5677125.25,0.0,0.34,0.09,305.41,0.34,2421580.09,134.44,True,61.81,2024-12-09,2.98,0,,12.34,14.9,False,False
09-12-2024 09:00,EGSER,3.86,4.1,3.86,4.05,20636159.0,0.05,0.19,0.0,3700.0,0.19,9468528.9,117.94,True,64.05,2024-12-09,6.3,0,,3.49,4.29,False,False
09-12-2024 09:00,ELITE,41.14,44.0,41.14,43.76,7800472.0,0.24,2.62,0.56,366.19,2.62,3775709.9,106.6,True,74.43,2024-12-09,6.89,0,,34.0,ATH,False,False
09-12-2024 09:00,ARCLK,146.2,150.1,146.1,150.0,3178199.0,0.1,3.8,0.35,985.71,3.8,2071106.3,53.45,True,67.92,2024-12-09,3.52,0,,123.0,ATH,False,False
09-12-2024 09:00,ACSEL,113.6,124.9,112.5,124.9,487161.0,0.0,11.3,1.55,629.03,11.3,205930.2,136.57,True,75.34,2024-12-09,9.95,0,,101.3,143.0,False,False
09-12-2024 09:00,KLRHO,28.92,31.8,28.92,31.8,1645930.0,0.0,2.88,0.09,3100.0,2.88,868429.6,89.53,True,64.36,2024-12-09,9.96,0,,27.0,32.66,False,False
09-12-2024 09:00,NUHCM,330.0,351.25,330.0,351.25,1682278.0,0.0,21.25,2.58,725.24,21.25,339519.4,395.49,True,75.79,2024-12-09,9.94,0,,262.75,ATH,False,False
09-12-2024 09:00,MEPET,10.06,11.01,9.93,11.01,9291708.0,0.0,0.95,0.13,614.29,0.95,2282252.5,307.13,True,73.38,2024-12-09,9.99,0,,8.83,ATH,False,False
09-12-2024 09:00,CIMSA,43.2,45.1,43.14,45.1,33113084.0,0.0,1.9,0.23,718.97,1.9,12792456.8,158.85,True,78.39,2024-12-09,10.0,0,,38.18,ATH,False,False
09-12-2024 09:00,DEVA,74.4,79.85,74.4,78.5,1460484.0,1.35,4.1,0.62,566.67,4.1,789567.0,84.97,True,75.6,2024-12-09,5.72,0,,66.55,ATH,False,False
09-12-2024 09:00,BASCM,11.98,12.6,11.98,12.6,439825.0,0.0,0.62,0.1,545.83,0.62,173381.9,153.67,True,60.63,2024-12-09,5.53,1,12.6,11.56,13.2,False,False
09-12-2024 09:00,NIBAS,19.2,20.54,19.19,20.54,15267753.0,0.0,1.34,0.07,1710.81,1.34,3488513.0,337.66,True,64.45,2024-12-09,9.96,0,,18.16,21.58,True,True
09-12-2024 09:00,DOFER,29.5,31.52,29.5,31.18,2347614.0,0.34,1.68,0.03,4841.18,1.68,754743.4,211.05,True,60.55,2024-12-09,7.0,0,,28.22,34.06,False,False
09-12-2024 09:00,ASTOR,93.6,102.0,93.6,101.1,26744072.0,0.9,7.5,0.08,8723.53,7.5,11682624.5,128.92,True,66.83,2024-12-09,8.83,0,,91.55,101.8,False,False
06-12-2024 09:00,TRCAS,25.08,26.96,25.08,26.7,4550907.0,0.26,1.62,0.4,300.99,1.62,1745452.3,160.73,True,77.69,2024-12-06,6.46,0,,21.08,ATH,False,False
06-12-2024 09:00,SAYAS,43.56,45.6,43.18,45.02,3001710.0,0.58,1.46,0.08,1771.79,1.46,1170879.4,156.36,True,55.26,2024-12-06,3.49,0,,42.48,48.42,False,False
06-12-2024 09:00,RODRG,21.16,23.26,21.06,22.8,5409102.0,0.46,1.64,0.13,1181.25,1.64,1509975.2,258.22,True,66.54,2024-12-06,7.75,0,,20.3,25.38,False,False
06-12-2024 09:00,AEFES,215.4,227.9,214.2,227.4,7688741.0,0.5,12.0,1.21,891.74,12.0,4193673.8,83.34,True,64.86,2024-12-06,6.76,0,,192.3,ATH,False,False
06-12-2024 09:00,AYDEM,24.88,25.38,24.88,25.36,3279365.0,0.02,0.48,0.0,6.75539944105574e+16,0.48,2111822.7,55.29,True,57.5,2024-12-06,2.42,0,,23.74,26.04,False,False
06-12-2024 09:00,EUREN,4.27,4.63,4.24,4.58,57961542.0,0.05,0.31,0.04,692.74,0.31,29619980.65,95.68,True,72.4,2024-12-06,8.79,0,,3.91,ATH,False,False
06-12-2024 09:00,CONSE,2.72,2.8,2.69,2.78,15428421.0,0.02,0.06,0.0,1400.0,0.06,9755735.5,58.15,True,64.98,2024-12-06,2.58,0,,2.46,ATH,False,False
06-12-2024 09:00,CATES,36.8,38.14,36.8,37.88,2502286.0,0.26,1.08,0.06,1762.07,1.08,1563013.7,60.09,True,57.51,2024-12-06,3.27,0,,35.64,38.7,False,False
06-12-2024 09:00,TUKAS,7.0,7.28,6.97,7.23,26276230.0,0.05,0.23,0.04,434.88,0.23,13599242.6,93.22,True,70.42,2024-12-06,3.73,0,,6.36,8.66,False,False
06-12-2024 09:00,GSRAY,2.14,2.22,2.14,2.22,206098766.86,0.0,0.08,0.02,410.64,0.08,90084780.91,128.78,True,43.85,2024-12-06,-3.96,0,,2.2,2.43,False,False
