Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
17-11-2025 10:00,GEREL,16.9,18.31,16.82,18.31,6145728.0,0.0,1.41,0.11,1158.93,1.41,903873.8,579.93,0.0,True,77.56,0.21,0.11,0.1,2025-11-17,16.65,9.97,0,,15.76,ATH,False,False
17-11-2025 10:00,OSMEN,8.78,8.95,8.77,8.93,416290.0,0.02,0.15,0.0,3650.0,0.15,181690.9,129.12,0.13,True,47.23,-0.12,0.03,-0.15,2025-11-17,8.77,1.82,0,,ATL,9.06,True,False
17-11-2025 10:00,SKYMD,12.21,12.52,12.21,12.45,1084946.0,0.07,0.24,0.01,3328.57,0.24,393100.4,176.0,0.29,True,57.3,-0.08,0.03,-0.1,2025-11-17,12.17,2.3,0,,12.12,12.78,True,True
17-11-2025 10:00,SEGYO,6.2,6.66,6.17,6.66,18187489.0,0.0,0.46,0.1,350.98,0.46,5796071.9,213.79,0.0,True,74.5,0.11,0.14,-0.03,2025-11-17,6.06,9.9,0,,5.13,ATH,False,False
17-11-2025 10:00,SAMAT,6.15,6.3,6.07,6.26,282821.0,0.04,0.11,0.02,400.0,0.11,91081.1,210.52,0.36,True,56.9,-0.01,0.02,-0.03,2025-11-17,6.18,1.29,0,,6.0,6.49,False,False
17-11-2025 10:00,DURDO,3.58,3.67,3.58,3.66,1077182.0,0.01,0.08,0.01,700.0,0.08,307959.7,249.78,0.12,True,65.07,-0.0,0.01,-0.01,2025-11-17,3.58,2.23,0,,3.55,3.82,False,False
17-11-2025 10:00,GMTAS,44.24,45.24,44.2,45.18,671077.0,0.06,0.94,0.0,23400.0,0.94,229605.4,192.27,0.06,True,56.32,-0.19,0.01,-0.2,2025-11-17,44.1,2.45,0,,44.3,45.36,True,True
17-11-2025 10:00,ESCAR,19.05,19.39,18.85,19.33,578038.0,0.06,0.28,0.01,1900.0,0.28,293196.5,97.15,0.21,True,57.19,-0.02,0.03,-0.05,2025-11-17,19.08,1.31,0,,18.7,19.42,False,False
17-11-2025 10:00,PNSUT,11.16,11.39,11.15,11.36,208508.0,0.03,0.2,0.0,19900.0,0.2,115528.7,80.48,0.15,True,51.76,-0.1,0.01,-0.11,2025-11-17,11.1,2.34,0,,11.02,11.86,True,True
17-11-2025 10:00,PENTA,13.87,14.2,13.87,14.15,546364.0,0.05,0.28,0.01,4566.67,0.28,208476.9,162.07,0.18,True,55.62,-0.11,0.03,-0.14,2025-11-17,13.8,2.54,0,,14.03,15.76,True,False
17-11-2025 10:00,PCILT,22.72,23.48,22.72,23.28,256848.0,0.2,0.56,0.03,1900.0,0.56,73152.3,251.11,0.36,True,55.29,-0.21,0.05,-0.25,2025-11-17,22.66,2.74,0,,23.08,23.58,True,True
17-11-2025 10:00,BRKVY,84.95,88.0,84.35,87.95,381771.0,0.05,3.0,0.6,400.0,3.0,137574.1,177.5,0.02,True,73.28,0.82,0.49,0.33,2025-11-17,84.7,3.84,0,,81.5,93.5,False,False
17-11-2025 10:00,OZYSR,38.5,40.5,37.2,40.36,423313.0,0.14,1.86,0.21,777.36,1.86,90134.9,369.64,0.08,True,70.2,0.33,0.05,0.28,2025-11-17,39.1,3.22,0,,36.5,ATH,False,False
17-11-2025 10:00,BULGS,42.64,45.36,42.62,45.12,4938175.0,0.24,2.48,0.34,620.93,2.48,1617271.0,205.34,0.1,True,66.9,0.02,0.34,-0.32,2025-11-17,42.42,6.36,0,,40.84,48.7,False,False
17-11-2025 10:00,BURCE,32.44,34.12,31.26,34.1,234446.0,0.02,1.66,0.11,1466.04,1.66,87366.3,168.35,0.01,True,47.76,-1.05,0.11,-1.16,2025-11-17,32.5,4.92,0,,34.0,40.0,True,True
17-11-2025 10:00,INFO,3.9,4.12,3.89,4.08,14708229.0,0.04,0.18,0.01,1400.0,0.18,3409225.3,331.42,0.22,True,59.23,-0.07,0.03,-0.09,2025-11-17,3.86,5.7,0,,ATL,4.42,True,False
17-11-2025 10:00,CEMAS,5.43,5.66,5.43,5.65,16867704.0,0.01,0.22,0.03,780.0,0.22,6407626.7,163.24,0.05,True,64.84,-0.0,0.01,-0.02,2025-11-17,5.43,4.05,0,,5.35,6.3,False,False
17-11-2025 10:00,ETILR,4.06,4.14,4.06,4.12,1136757.0,0.02,0.06,0.01,1100.0,0.06,437149.2,160.04,0.33,True,58.55,-0.03,0.01,-0.04,2025-11-17,4.04,1.98,0,,3.99,4.46,True,False
17-11-2025 10:00,GLRYH,4.31,4.43,4.31,4.41,2979854.0,0.02,0.1,0.0,9900.0,0.1,1200986.6,148.12,0.2,True,47.67,-0.09,0.02,-0.1,2025-11-17,4.29,2.8,0,,4.17,5.15,True,False
17-11-2025 10:00,ODAS,5.29,5.4,5.28,5.38,10008445.0,0.02,0.09,0.0,8900.0,0.09,3557188.6,181.36,0.22,True,56.42,-0.03,0.01,-0.04,2025-11-17,5.24,2.67,0,,5.27,5.48,False,False
17-11-2025 10:00,HATEK,19.85,21.46,19.78,21.3,5215594.0,0.16,1.45,0.27,439.03,1.45,2812443.8,85.45,0.11,True,79.88,0.72,0.16,0.56,2025-11-17,19.69,8.18,0,,16.56,ATH,False,False
17-11-2025 10:00,CONSE,3.17,3.25,3.17,3.24,1397197.0,0.01,0.07,0.0,1650.0,0.07,551916.1,153.15,0.14,True,60.9,-0.02,0.01,-0.03,2025-11-17,3.15,2.86,0,,3.13,3.48,True,False
17-11-2025 10:00,KRDMA,24.74,25.68,24.72,25.54,484812.0,0.14,0.8,0.03,2400.0,0.8,159511.9,203.93,0.18,True,60.27,-0.16,0.08,-0.24,2025-11-17,24.58,3.91,0,,24.6,25.76,True,False
17-11-2025 10:00,EKOS,26.14,28.2,26.14,28.12,2075551.0,0.08,1.98,0.18,976.09,1.98,447618.2,363.69,0.04,True,77.61,0.05,0.19,-0.15,2025-11-17,26.02,8.07,0,,25.44,28.92,False,False
17-11-2025 10:00,GLRMK,171.1,174.7,170.5,174.1,439863.0,0.6,3.0,0.32,837.5,3.0,139032.0,216.38,0.2,True,55.77,-1.32,0.57,-1.89,2025-11-17,169.1,2.96,0,,164.0,176.0,False,False
17-11-2025 10:00,KRVGD,2.53,2.58,2.52,2.58,1678555.0,0.0,0.05,0.0,1150.0,0.05,768939.9,118.29,0.0,True,59.4,-0.0,0.01,-0.01,2025-11-17,2.52,2.38,0,,2.48,2.61,False,False
17-11-2025 10:00,KZGYO,24.72,26.44,24.56,26.22,949364.0,0.22,1.5,0.14,941.67,1.5,159277.7,496.04,0.15,True,75.85,-0.02,0.17,-0.2,2025-11-17,24.4,7.46,0,,24.16,27.64,True,False
17-11-2025 10:00,IHYAY,2.26,2.35,2.26,2.33,2880426.0,0.02,0.07,0.0,1.576259869579679e+17,0.07,994436.8,189.65,0.29,True,48.83,-0.02,-0.0,-0.02,2025-11-17,2.26,3.1,0,,2.32,2.37,False,False
17-11-2025 10:00,LIDER,78.65,83.3,78.65,82.9,397457.0,0.4,4.25,0.34,1150.0,4.25,126218.1,214.9,0.09,True,80.4,2.42,-0.12,2.54,2025-11-17,78.65,5.4,0,,65.75,ATH,False,False
17-11-2025 10:00,ECZYT,349.25,356.25,346.0,356.0,199946.0,0.25,6.75,1.3,419.23,6.75,83456.7,139.58,0.04,True,77.08,4.02,0.81,3.21,2025-11-17,346.5,2.74,0,,332.0,ATH,False,False
17-11-2025 10:00,ECOGR,29.48,29.6,29.08,29.6,2998903.0,0.0,0.12,0.01,900.0,0.12,1371235.5,118.7,0.0,True,100.0,1.65,0.13,1.52,2025-11-17,26.92,9.96,0,,22.26,ATH,False,False
17-11-2025 10:00,DYOBY,13.26,13.68,13.26,13.56,218081.0,0.12,0.3,0.02,1400.0,0.3,89810.8,142.82,0.4,True,65.23,-0.04,0.03,-0.08,2025-11-17,13.22,2.57,0,,13.15,13.64,True,True
17-11-2025 10:00,BARMA,21.48,23.34,21.38,23.34,3796943.0,0.0,1.86,0.22,745.45,1.86,557294.0,581.32,0.0,True,80.4,0.34,0.18,0.16,2025-11-17,21.22,9.99,0,,20.08,ATH,False,False
