Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
19-11-2025 15:00,HEKTS,3.29,3.34,3.28,3.33,25144106.0,0.01,0.04,0.0,1900.0,0.04,13083343.9,92.18,0.25,True,62.68,0.01,0.0,0.01,2025-11-19,3.26,2.15,0,,3.24,3.34,False,False
19-11-2025 15:00,ECZYT,359.5,364.0,353.5,363.75,162388.0,0.25,4.25,0.5,750.0,4.25,70106.3,131.63,0.06,True,59.71,3.23,-0.51,3.74,2025-11-19,361.5,0.62,0,,354.5,365.5,False,False
19-11-2025 15:00,ECOGR,24.38,29.3,23.98,29.3,109104893.0,0.0,4.92,0.53,835.36,4.92,13466116.8,710.22,0.0,True,66.0,-0.42,-0.06,-0.36,2025-11-19,26.64,9.98,0,,22.26,29.6,True,True
19-11-2025 15:00,AEFES,14.9,15.2,14.9,15.15,17820189.0,0.05,0.25,0.05,371.7,0.25,7697983.8,131.49,0.2,True,72.57,0.13,0.03,0.1,2025-11-19,14.7,3.06,0,,14.35,ATH,False,False
19-11-2025 15:00,TCKRC,48.12,48.74,47.9,48.74,126451.0,0.0,0.62,0.06,868.75,0.62,82338.6,53.57,0.0,True,56.7,0.05,-0.01,0.06,2025-11-19,48.0,1.54,0,,45.0,50.0,False,False
19-11-2025 15:00,BRKVY,84.95,87.8,84.9,87.7,341065.0,0.1,2.75,0.24,1045.83,2.75,80355.8,324.44,0.04,True,62.72,0.23,0.03,0.2,2025-11-19,85.3,2.81,0,,83.95,88.3,False,False
19-11-2025 15:00,GLYHO,11.25,11.6,11.22,11.58,4466240.0,0.02,0.33,0.04,725.0,0.33,1112264.1,301.54,0.06,True,66.07,-0.01,0.03,-0.03,2025-11-19,11.14,3.95,0,,11.0,11.66,False,False
19-11-2025 15:00,YKSLN,5.87,5.94,5.85,5.94,1065412.0,0.0,0.07,0.01,677.78,0.07,365469.5,191.52,0.0,True,56.15,0.0,-0.0,0.0,2025-11-19,5.88,1.02,0,,5.82,6.07,False,False
19-11-2025 15:00,DOFER,55.6,56.95,55.5,56.9,347773.0,0.05,1.3,0.29,340.68,1.3,130089.5,167.33,0.04,True,62.83,-0.19,0.37,-0.56,2025-11-19,53.6,6.16,0,,54.0,65.45,False,False
19-11-2025 15:00,TUCLK,9.26,9.41,9.22,9.37,595729.0,0.04,0.11,0.01,816.67,0.11,252770.9,135.68,0.36,True,57.09,0.02,0.0,0.02,2025-11-19,9.21,1.74,0,,9.17,9.5,False,False
19-11-2025 15:00,MERIT,19.31,19.83,19.21,19.77,944663.0,0.06,0.46,0.07,547.89,0.46,417932.1,126.03,0.13,True,50.18,-0.33,0.07,-0.4,2025-11-19,19.16,3.18,0,,19.75,21.04,True,True
19-11-2025 15:00,AKGRT,6.82,6.89,6.8,6.88,1873002.0,0.01,0.06,0.0,2900.0,0.06,1024804.5,82.77,0.17,True,53.79,0.0,-0.01,0.01,2025-11-19,6.83,0.73,0,,6.59,7.0,False,False
19-11-2025 15:00,MGROS,523.5,531.0,523.5,529.0,789619.0,2.0,5.5,2.4,129.17,5.5,415286.7,90.14,0.36,True,78.37,5.17,2.19,2.99,2025-11-19,505.0,4.75,0,,497.75,ATH,False,False
19-11-2025 14:00,ZOREN,3.27,3.31,3.27,3.3,9964408.0,0.01,0.03,0.0,1400.0,0.03,5873569.8,69.65,0.33,True,57.4,-0.0,0.0,-0.01,2025-11-19,3.26,1.23,0,,3.22,3.33,False,False
19-11-2025 14:00,NIBAS,21.88,23.26,21.88,23.14,999784.0,0.12,1.26,0.12,986.21,1.26,208834.9,378.74,0.1,True,71.6,0.05,0.12,-0.07,2025-11-19,21.6,7.13,0,,20.58,24.16,False,False
19-11-2025 14:00,BNTAS,6.49,6.65,6.47,6.64,916824.0,0.01,0.15,0.02,782.35,0.15,352533.5,160.07,0.07,True,68.63,0.01,0.01,-0.0,2025-11-19,6.42,3.43,0,,6.42,6.96,False,False
19-11-2025 13:00,MANAS,10.24,11.15,10.22,11.15,10746660.0,0.0,0.91,0.08,1051.9,0.91,6161519.6,74.42,0.0,True,56.89,-0.22,0.09,-0.31,2025-11-19,10.14,9.96,0,,9.7,11.26,True,False
