Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
15-04-2024 09:00,GSRAY,2.26,3.15,2.24,3.09,1515512925.6,0.06,0.83,0.04,1802.26,0.83,624899864.05,142.52,0.08,True,68.26,2024-04-15,37.01,0,,2.13,ATH,False,False
01-04-2024 09:00,BJKAS,8.53,11.78,8.44,11.78,95279337.46,0.0,3.25,0.3,994.97,3.25,57487219.1,65.74,0.0,True,61.16,2024-04-01,38.1,0,,6.59,ATH,False,False
01-04-2024 09:00,BVSAN,102.6,118.1,99.3,113.9,11234362.0,4.2,11.3,0.7,1514.29,11.3,7318456.8,53.51,0.37,True,58.78,2024-04-01,11.12,0,,95.6,125.6,False,False
18-03-2024 09:00,PKART,69.9,92.55,69.9,91.6,6211114.0,0.95,21.7,5.5,294.33,21.7,3055650.4,103.27,0.04,True,82.5,2024-03-18,31.7,0,,27.92,ATH,False,False
18-03-2024 09:00,BAYRK,42.0,56.95,41.96,56.55,25187997.0,0.4,14.55,2.84,412.14,14.55,12877036.7,95.6,0.03,True,76.61,2024-03-18,34.77,0,,7.51,ATH,False,False
18-03-2024 09:00,AEFES,13.99,15.68,13.65,15.45,202284450.0,0.23,1.46,0.13,1058.73,1.46,133065288.0,52.02,0.16,True,64.17,2024-03-18,11.47,0,,9.34,ATH,False,False
18-03-2024 09:00,JANTS,31.29,42.86,28.36,42.86,117006227.0,0.0,11.57,2.4,383.16,11.57,73104317.65,60.05,0.0,True,86.36,2024-03-18,37.1,0,,15.38,ATH,False,False
11-03-2024 09:00,AKFYE,25.0,33.46,25.0,31.78,200176341.0,1.68,6.78,1.57,331.85,6.78,105720382.3,89.35,0.25,True,78.35,2024-03-11,21.76,1,33.46,12.84,33.46,False,False
04-03-2024 09:00,RAYSG,306.25,382.5,301.5,369.25,1833138.0,13.25,63.0,12.82,391.23,63.0,1075771.5,70.4,0.21,True,93.94,2024-03-04,20.67,0,,ATL,ATH,False,False
04-03-2024 09:00,KARSN,10.39,11.38,9.87,11.11,309744395.0,0.27,0.72,0.19,271.13,0.72,107330898.9,188.59,0.38,True,62.74,2024-03-04,8.07,0,,7.92,ATH,False,False
04-03-2024 09:00,MTRYO,8.49,11.18,8.46,11.05,5476654.0,0.13,2.56,0.46,454.11,2.56,2564986.6,113.52,0.05,True,70.98,2024-03-04,29.09,0,,5.45,ATH,False,False
04-03-2024 09:00,MMCAS,12.05,18.82,12.05,18.6,3492169.0,0.22,6.55,0.85,671.5,6.55,1081990.0,222.75,0.03,True,74.61,2024-03-04,58.97,0,,7.62,ATH,False,False
04-03-2024 09:00,FROTO,100.8,111.4,97.4,111.0,92687970.0,0.4,10.2,3.23,215.79,10.2,58681969.0,57.95,0.04,True,75.94,2024-03-04,10.12,0,,72.8,ATH,False,False
26-02-2024 09:00,KORDS,95.8,105.6,92.7,103.0,14603229.0,2.6,7.2,2.43,196.3,7.2,6510254.3,124.31,0.36,True,73.52,2024-02-26,7.57,0,,71.3,ATH,False,False
26-02-2024 09:00,ESCAR,17.81,21.82,17.65,21.72,49013839.78,0.1,3.91,0.49,691.21,3.91,18269026.7,168.29,0.02,True,71.57,2024-02-26,21.95,0,,15.32,22.81,False,False
26-02-2024 09:00,KONYA,8870.0,10875.0,8767.5,10560.0,246828.0,315.0,1690.0,196.25,761.15,1690.0,146998.6,67.91,0.19,True,71.34,2024-02-26,19.25,0,,6650.0,ATH,False,False
26-02-2024 09:00,DENGE,2.11,2.4,1.9,2.35,332700139.33,0.06,0.23,0.06,273.63,0.23,123718689.82,168.92,0.24,True,71.41,2024-02-26,12.91,0,,1.47,ATH,False,False
26-02-2024 09:00,OYLUM,11.25,12.61,11.13,12.61,36591056.0,0.0,1.36,0.51,167.72,1.36,22219895.6,64.68,0.0,True,73.38,2024-02-26,16.54,0,,6.56,ATH,False,False
26-02-2024 09:00,QNBFK,47.62,63.13,47.3,63.13,1172260.84,0.0,15.51,1.55,901.88,15.51,671282.01,74.63,0.0,True,65.87,2024-02-26,32.56,0,,39.84,82.35,False,False
