Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
26-03-2025 15:00,BVSAN,98.4,102.5,98.3,101.8,404913.0,0.7,3.4,0.45,655.56,3.4,109294.4,270.48,0.21,True,64.72,2025-03-26,99.5,2.31,0,,90.2,105.4,False,False
26-03-2025 15:00,IZFAS,67.95,69.85,67.85,69.55,653082.0,0.3,1.6,0.2,680.49,1.6,134720.6,384.77,0.19,True,65.12,2025-03-26,68.0,2.28,0,,62.65,71.05,False,False
26-03-2025 14:00,BIENY,33.72,35.92,33.72,35.64,1229111.0,0.28,1.92,0.27,616.42,1.92,274571.0,347.65,0.15,True,77.6,2025-03-26,33.68,5.82,0,,29.06,ATH,False,False
26-03-2025 14:00,EMKEL,20.4,21.18,20.36,21.16,1073959.0,0.02,0.76,0.22,243.89,0.76,587496.6,82.8,0.03,True,72.98,2025-03-26,19.87,6.49,0,,17.4,21.42,False,False
26-03-2025 14:00,KZBGY,6.45,6.72,6.43,6.72,13261108.0,0.0,0.27,0.06,328.57,0.27,2999870.9,342.06,0.0,True,78.52,2025-03-26,6.11,9.98,0,,5.4,7.04,False,False
26-03-2025 14:00,AGROT,8.13,8.86,8.13,8.77,21542382.0,0.09,0.64,0.1,566.67,0.64,5909963.0,264.51,0.14,True,70.28,2025-03-26,8.23,6.56,0,,7.35,9.57,False,False
26-03-2025 14:00,PENGD,6.83,7.01,6.83,6.98,1694907.0,0.03,0.15,0.02,614.29,0.15,478763.7,254.02,0.2,True,60.45,2025-03-26,6.94,0.58,0,,6.2,7.02,False,False
26-03-2025 14:00,OSTIM,2.91,3.08,2.9,3.06,9635664.0,0.02,0.15,0.02,733.33,0.15,2226470.8,332.78,0.13,True,70.83,2025-03-26,2.93,4.44,0,,2.5,ATH,False,False
26-03-2025 14:00,MANAS,10.52,11.4,10.49,11.3,2134440.0,0.1,0.78,0.07,983.33,0.78,533386.4,300.17,0.13,True,70.77,2025-03-26,10.71,5.51,0,,9.47,11.99,False,False
26-03-2025 13:00,GEDZA,25.02,26.2,24.96,25.98,579298.0,0.22,0.96,0.24,303.36,0.96,200177.5,189.39,0.23,True,76.97,2025-03-26,24.0,8.25,0,,21.86,26.18,False,False
26-03-2025 13:00,GMTAS,12.43,13.07,12.36,13.02,774403.0,0.05,0.59,0.06,917.24,0.59,201113.7,285.06,0.08,True,69.13,2025-03-26,12.46,4.49,0,,11.02,13.45,False,False
26-03-2025 12:00,MGROS,503.5,512.0,503.0,510.0,903806.0,2.0,6.5,0.48,1268.42,6.5,399280.7,126.36,0.31,True,65.46,2025-03-26,504.0,1.19,0,,448.75,512.0,False,False
26-03-2025 12:00,SURGY,39.42,40.66,39.0,40.64,430634.0,0.02,1.22,0.32,276.54,1.22,230132.1,87.12,0.02,True,73.97,2025-03-26,37.32,8.9,0,,33.32,41.1,False,False
26-03-2025 12:00,ZRGYO,17.9,18.9,17.86,18.73,2251486.0,0.17,0.83,0.04,2084.21,0.83,909672.2,147.51,0.2,True,47.0,2025-03-26,18.73,0.0,0,,18.3,20.4,False,False
26-03-2025 11:00,MERKO,13.69,14.0,13.67,13.92,758242.0,0.08,0.23,0.01,2200.0,0.23,305132.9,148.5,0.35,True,57.03,2025-03-26,13.56,2.65,0,,13.0,14.05,False,False
26-03-2025 11:00,GWIND,24.84,25.56,24.82,25.38,567696.0,0.18,0.54,0.11,390.91,0.54,298109.0,90.43,0.33,True,61.92,2025-03-26,25.02,1.44,0,,22.98,27.12,False,False
26-03-2025 11:00,TATGD,11.83,12.03,11.82,11.98,444635.0,0.05,0.15,0.01,1566.67,0.15,202627.0,119.44,0.33,True,50.81,2025-03-26,12.04,-0.5,0,,11.3,12.08,False,False
26-03-2025 11:00,KOZAA,76.9,81.7,76.85,81.35,3047516.0,0.35,4.45,0.68,554.41,4.45,1044172.6,191.86,0.08,True,65.56,2025-03-26,78.7,3.37,0,,71.8,85.55,False,False
26-03-2025 11:00,KLKIM,33.44,34.42,33.38,34.36,1049631.0,0.06,0.92,0.21,333.96,0.92,480363.0,118.51,0.07,True,70.02,2025-03-26,33.0,4.12,0,,30.04,36.52,False,False
26-03-2025 11:00,BOBET,19.0,19.49,18.99,19.42,422346.0,0.07,0.42,0.07,491.55,0.42,268887.6,57.07,0.17,True,61.3,2025-03-26,19.19,1.2,0,,17.52,22.88,False,False
26-03-2025 11:00,BORSK,20.54,21.1,20.52,21.06,255998.0,0.04,0.52,0.08,550.0,0.52,147300.7,73.79,0.08,True,63.73,2025-03-26,20.88,0.86,0,,18.42,21.5,False,False
26-03-2025 11:00,BOSSA,6.21,6.36,6.21,6.33,768853.0,0.03,0.12,0.02,650.0,0.12,401885.7,91.31,0.25,True,60.74,2025-03-26,6.24,1.44,0,,5.73,6.37,False,False
26-03-2025 11:00,KOZAL,24.84,25.86,24.82,25.76,24706381.0,0.1,0.92,0.16,489.74,0.92,9890883.0,149.79,0.11,True,60.77,2025-03-26,25.26,1.98,0,,23.2,27.74,False,False
26-03-2025 11:00,CGCAM,25.1,27.0,25.1,26.72,4601837.0,0.28,1.62,0.19,743.75,1.62,1060168.8,334.07,0.17,True,69.8,2025-03-26,25.14,6.28,0,,23.42,27.48,False,False
26-03-2025 11:00,DGNMO,6.79,6.91,6.77,6.9,812702.0,0.01,0.11,0.01,816.67,0.11,498786.2,62.94,0.09,True,63.33,2025-03-26,6.78,1.77,0,,6.24,7.07,False,False
26-03-2025 11:00,DMRGD,13.99,14.45,13.97,14.38,1502913.0,0.07,0.39,0.1,297.96,0.39,572016.1,162.74,0.18,True,73.2,2025-03-26,13.75,4.58,0,,11.84,14.79,False,False
26-03-2025 11:00,DNISI,25.02,26.08,25.02,25.88,752046.0,0.2,0.86,0.06,1287.1,0.86,279600.5,168.97,0.23,True,62.01,2025-03-26,25.32,2.21,0,,22.76,26.6,False,False
26-03-2025 11:00,POLHO,11.79,12.02,11.79,11.99,974846.0,0.03,0.2,0.03,566.67,0.2,537942.8,81.22,0.15,True,67.11,2025-03-26,11.67,2.74,0,,11.29,12.36,False,False
26-03-2025 11:00,KERVT,15.29,15.88,15.29,15.84,2746506.0,0.04,0.55,0.09,532.18,0.55,1303326.9,110.73,0.07,True,63.19,2025-03-26,15.35,3.19,0,,13.82,15.85,False,False
26-03-2025 11:00,ESCOM,2.46,2.5,2.44,2.5,2213311.0,0.0,0.04,0.01,566.67,0.04,989468.0,123.69,0.0,True,60.38,2025-03-26,2.45,2.04,0,,2.21,2.75,False,False
26-03-2025 11:00,KARYE,25.32,26.32,25.28,26.08,423149.0,0.24,0.76,0.09,708.51,0.76,164314.0,157.52,0.32,True,61.47,2025-03-26,25.52,2.19,0,,23.6,26.26,False,False
26-03-2025 11:00,EUREN,4.3,4.41,4.28,4.39,7619569.0,0.02,0.09,0.01,542.86,0.09,3552370.2,114.49,0.22,True,55.27,2025-03-26,4.36,0.69,0,,3.98,4.8,False,False
