Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
01-09-2025 10:00,PETUN,12.41,13.07,12.41,12.97,507659.0,0.1,0.56,0.07,748.48,0.56,221452.7,129.24,0.18,True,67.69,0.02,0.04,-0.02,2025-09-01,12.4,4.6,0,,12.27,13.06,False,False
01-09-2025 10:00,PATEK,26.06,26.86,26.06,26.82,4504404.0,0.04,0.76,0.08,900.0,0.76,2337085.7,92.74,0.05,True,61.98,0.08,-0.05,0.13,2025-09-01,25.92,3.47,0,,24.84,27.96,False,False
01-09-2025 10:00,EDATA,5.28,5.38,5.26,5.37,763992.0,0.01,0.09,0.01,1185.71,0.09,445104.1,71.64,0.11,True,58.92,-0.03,0.01,-0.04,2025-09-01,5.23,2.68,0,,5.32,5.42,True,False
01-09-2025 10:00,IZMDC,6.64,6.98,6.63,6.91,1631775.0,0.07,0.27,0.03,743.75,0.27,453619.1,259.72,0.26,True,73.74,0.01,0.03,-0.02,2025-09-01,6.61,4.54,0,,6.47,6.98,False,False
01-09-2025 10:00,MOPAS,32.88,33.56,32.88,33.5,324223.0,0.06,0.62,0.05,1247.83,0.62,211772.2,53.1,0.1,True,54.34,-0.23,0.05,-0.28,2025-09-01,32.82,2.07,0,,32.7,35.08,True,True
01-09-2025 10:00,KRTEK,30.68,31.2,30.64,31.12,189170.0,0.08,0.44,0.08,423.81,0.44,118056.5,60.24,0.18,True,59.56,-0.01,0.02,-0.04,2025-09-01,30.12,3.32,0,,29.1,31.92,False,False
01-09-2025 10:00,MIATK,41.62,42.48,41.48,42.3,2701359.0,0.18,0.68,0.06,1114.29,0.68,1260045.9,114.39,0.26,True,61.35,-0.04,0.03,-0.07,2025-09-01,41.62,1.63,0,,41.58,42.48,True,True
29-08-2025 17:00,MEKAG,4.34,4.64,4.32,4.62,3384375.0,0.02,0.28,0.02,1020.0,0.28,1707179.4,98.24,0.07,True,73.74,0.07,0.02,0.06,2025-08-29,4.49,2.9,0,,4.09,ATH,False,False
29-08-2025 17:00,INFO,3.67,3.94,3.63,3.92,8025386.0,0.02,0.25,0.01,2172.73,0.25,3361529.2,138.74,0.08,True,62.6,-0.04,0.01,-0.05,2025-08-29,3.8,3.16,0,,3.61,3.97,True,True
29-08-2025 17:00,CANTE,2.4,2.48,2.39,2.48,122719874.0,0.0,0.08,0.0,1500.0,0.08,58650631.1,109.24,0.0,True,50.4,-0.04,0.0,-0.04,2025-08-29,2.46,0.81,0,,2.41,2.59,True,True
29-08-2025 17:00,TRCAS,35.82,36.08,35.76,36.08,212863.0,0.0,0.26,0.01,2500.0,0.26,92201.3,130.87,0.0,True,54.31,-0.0,0.02,-0.02,2025-08-29,36.0,0.22,0,,35.5,36.32,False,False
29-08-2025 17:00,TURSG,9.64,9.79,9.62,9.75,4695209.0,0.04,0.11,0.01,685.71,0.11,1035424.2,353.46,0.36,True,57.31,-0.02,0.02,-0.05,2025-08-29,9.64,1.14,0,,9.49,9.96,False,False
29-08-2025 17:00,KRSTL,10.49,10.62,10.49,10.6,1140772.0,0.02,0.11,0.01,1471.43,0.11,657437.2,73.52,0.18,True,50.35,-0.05,0.01,-0.05,2025-08-29,10.59,0.09,0,,10.05,10.81,False,False
29-08-2025 17:00,ULUFA,3.99,4.31,3.99,4.31,31219140.0,0.0,0.32,0.04,742.11,0.32,5431446.0,474.79,0.0,True,80.4,0.05,0.02,0.04,2025-08-29,3.92,9.95,0,,3.91,ATH,False,False
29-08-2025 17:00,DAPGM,17.04,17.39,16.88,17.34,32117207.0,0.05,0.3,0.01,2900.0,0.3,4764993.2,574.02,0.17,True,60.05,0.04,-0.02,0.06,2025-08-29,17.2,0.81,0,,16.99,ATH,False,False
29-08-2025 17:00,GIPTA,143.5,147.2,143.4,146.7,378042.0,0.5,3.2,0.76,321.05,3.2,194513.0,94.35,0.16,True,80.07,1.78,0.68,1.1,2025-08-29,138.8,5.69,0,,135.6,ATH,False,False
29-08-2025 17:00,MAGEN,50.35,51.15,50.1,50.95,1054753.0,0.2,0.6,0.11,435.71,0.6,343591.3,206.98,0.33,True,66.7,0.22,0.07,0.15,2025-08-29,49.6,2.72,0,,49.0,51.15,False,False
29-08-2025 16:00,KRONT,15.26,16.04,15.24,16.02,2165961.0,0.02,0.76,0.08,838.27,0.76,434099.1,398.96,0.03,True,79.86,0.16,0.05,0.1,2025-08-29,15.1,6.09,0,,14.37,ATH,False,False
29-08-2025 16:00,EUREN,8.23,8.82,8.2,8.74,37855725.0,0.08,0.51,0.06,750.0,0.51,10167185.2,272.33,0.16,True,78.21,0.13,0.03,0.1,2025-08-29,8.05,8.57,0,,7.87,ATH,False,False
29-08-2025 16:00,BLCYT,20.64,21.6,20.62,21.56,3161881.0,0.04,0.92,0.07,1252.94,0.92,403847.2,682.94,0.04,True,73.3,0.15,0.08,0.07,2025-08-29,20.6,4.66,0,,19.81,ATH,False,False
29-08-2025 15:00,OFSYM,56.95,57.9,56.9,57.75,89567.0,0.15,0.8,0.08,900.0,0.8,52690.9,69.99,0.19,True,56.96,-0.04,0.03,-0.07,2025-08-29,56.9,1.49,0,,56.8,58.35,False,False
29-08-2025 15:00,CVKMD,14.01,14.13,13.97,14.13,2795040.0,0.0,0.12,0.0,3900.0,0.12,1146591.1,143.77,0.0,True,54.79,-0.01,0.02,-0.03,2025-08-29,14.02,0.78,0,,13.64,14.27,False,False
