Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
07-03-2025 16:00,KLKIM,31.34,32.14,31.34,31.92,762876.0,0.22,0.58,0.04,1426.32,0.58,503652.7,51.47,0.38,True,64.92,2025-03-07,31.54,1.2,0,,28.28,32.4,False,False
07-03-2025 16:00,OSMEN,9.11,9.6,9.11,9.57,1141736.0,0.03,0.46,0.07,586.57,0.46,484787.9,135.51,0.07,True,77.41,2025-03-07,8.84,8.26,0,,7.82,ATH,False,False
07-03-2025 16:00,CVKMD,9.69,9.96,9.68,9.93,6483247.0,0.03,0.24,0.03,727.59,0.24,3014104.8,115.1,0.13,True,68.85,2025-03-07,9.67,2.69,0,,9.53,10.0,False,False
07-03-2025 16:00,HURGZ,4.92,5.19,4.91,5.13,2173686.0,0.06,0.21,0.04,412.2,0.21,570264.5,281.17,0.29,True,77.76,2025-03-07,4.77,7.55,0,,4.64,ATH,False,False
07-03-2025 16:00,NTGAZ,6.57,6.82,6.49,6.76,2216553.0,0.06,0.19,0.04,375.0,0.19,836736.8,164.9,0.32,True,77.59,2025-03-07,6.41,5.46,0,,5.99,ATH,False,False
07-03-2025 15:00,SEYKM,2.99,3.03,2.97,3.03,241098.0,0.0,0.04,0.01,207.69,0.04,129638.3,85.98,0.0,True,62.71,2025-03-07,2.99,1.34,0,,2.85,3.3,False,False
07-03-2025 15:00,TUCLK,9.34,9.43,9.3,9.42,371523.0,0.01,0.08,0.03,166.67,0.08,235030.3,58.07,0.12,True,68.89,2025-03-07,9.3,1.29,0,,8.83,ATH,False,False
07-03-2025 15:00,YESIL,1.49,1.53,1.48,1.53,12428467.0,0.0,0.04,0.01,700.0,0.04,6195182.4,100.62,0.0,True,71.01,2025-03-07,1.45,5.52,0,,1.42,1.58,False,False
07-03-2025 14:00,DYOBY,24.64,25.16,24.56,25.02,943458.0,0.14,0.38,0.09,331.82,0.38,297937.6,216.66,0.37,True,60.24,2025-03-07,24.12,3.73,0,,23.34,26.06,False,False
07-03-2025 13:00,KLSER,32.46,34.4,32.3,34.04,1353254.0,0.36,1.58,0.23,581.03,1.58,375759.7,260.14,0.23,True,84.41,2025-03-07,32.0,6.37,0,,30.36,ATH,False,False
