Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
12-11-2025 11:00,BINHO,10.28,10.91,10.27,10.89,16737395.0,0.02,0.61,0.04,1286.36,0.61,4776911.2,250.38,0.03,True,60.82,-0.14,0.05,-0.19,2025-11-12,10.27,6.04,0,,10.55,11.64,True,True
12-11-2025 11:00,PENGD,8.6,8.94,8.6,8.91,2063898.0,0.03,0.31,0.01,4328.57,0.31,705918.8,192.37,0.1,True,59.82,-0.04,0.01,-0.05,2025-11-12,8.55,4.21,0,,8.76,8.95,False,False
12-11-2025 11:00,ALTIN,72.59,73.4,72.15,73.25,7856716.0,0.15,0.66,0.11,494.59,0.66,4613724.9,70.29,0.23,True,67.2,0.89,-0.07,0.96,2025-11-12,73.64,-0.53,0,,67.25,ATH,False,False
12-11-2025 11:00,BINBN,165.2,173.3,165.2,172.6,139151.0,0.7,7.4,0.26,2746.15,7.4,62131.3,123.96,0.09,True,54.53,-2.33,0.39,-2.72,2025-11-12,165.1,4.54,0,,170.9,178.0,True,True
12-11-2025 11:00,FADE,13.82,14.1,13.81,14.04,228452.0,0.06,0.22,0.01,2344.44,0.22,146192.3,56.27,0.27,True,44.92,-0.21,0.03,-0.24,2025-11-12,13.75,2.11,0,,ATL,14.39,True,False
12-11-2025 11:00,SASA,2.88,3.06,2.88,3.01,1087976448.0,0.05,0.13,0.01,2066.67,0.13,224515623.7,384.59,0.38,True,71.73,-0.01,0.01,-0.02,2025-11-12,2.88,4.51,0,,3.0,3.03,False,False
12-11-2025 11:00,CRFSA,122.0,124.5,121.4,124.3,140307.0,0.2,2.3,0.03,7566.67,2.3,82590.7,69.88,0.09,True,58.21,0.13,0.07,0.06,2025-11-12,121.8,2.05,0,,119.2,125.4,False,False
12-11-2025 10:00,MEGMT,38.0,40.34,37.3,40.3,3113676.0,0.04,2.3,0.26,784.62,2.3,1359414.0,129.05,0.02,True,60.38,-0.28,0.27,-0.55,2025-11-12,37.68,6.95,0,,36.12,44.04,True,True
12-11-2025 10:00,LINK,312.5,327.0,311.0,326.0,461119.0,1.0,13.5,0.75,1700.0,13.5,164991.7,179.48,0.07,True,58.24,-1.45,-0.75,-0.7,2025-11-12,312.0,4.49,0,,308.5,341.5,False,False
12-11-2025 10:00,DENGE,3.34,3.52,3.34,3.49,9734346.0,0.03,0.15,0.0,7400.0,0.15,3784361.1,157.23,0.2,True,52.16,-0.03,-0.01,-0.01,2025-11-12,3.33,4.8,0,,3.42,3.68,False,False
12-11-2025 10:00,GUBRF,302.5,316.25,302.25,312.75,1581435.0,3.5,10.25,0.62,1540.0,10.25,456392.2,246.51,0.34,True,63.56,-0.35,0.21,-0.56,2025-11-12,301.25,3.82,0,,285.75,313.25,False,False
12-11-2025 10:00,MGROS,494.5,506.5,493.25,504.5,798351.0,2.0,10.0,0.05,19900.0,10.0,443322.4,80.08,0.2,True,61.27,2.01,-1.72,3.73,2025-11-12,495.0,1.92,0,,452.5,512.5,False,False
12-11-2025 10:00,VRGYO,3.05,3.14,3.05,3.12,6625682.0,0.02,0.07,0.0,6900.0,0.07,3568233.1,85.69,0.29,True,45.7,-0.06,0.01,-0.06,2025-11-12,3.03,2.97,0,,ATL,3.25,True,False
12-11-2025 10:00,EMKEL,49.3,58.3,49.24,57.3,10145082.0,1.0,8.0,0.8,900.0,8.0,1111409.7,812.81,0.12,True,48.46,-2.9,0.11,-3.01,2025-11-12,53.85,6.41,0,,53.85,75.2,True,True
12-11-2025 10:00,LIDER,66.0,67.55,66.0,67.4,232042.0,0.15,1.4,0.19,656.76,1.4,82017.1,182.92,0.11,True,56.69,-0.02,0.02,-0.04,2025-11-12,66.3,1.66,0,,64.75,68.3,False,False
12-11-2025 10:00,SELVA,1.94,2.03,1.88,2.02,8398913.0,0.01,0.08,0.0,3900.0,0.08,2499890.1,235.97,0.12,True,48.06,-0.04,0.0,-0.04,2025-11-12,1.94,4.12,0,,2.0,2.17,True,True
12-11-2025 10:00,MANAS,11.58,11.8,11.2,11.8,10534214.0,0.0,0.22,0.02,900.0,0.22,2446456.7,330.59,0.0,True,99.35,0.64,0.06,0.58,2025-11-12,10.73,9.97,0,,9.76,ATH,False,False
12-11-2025 10:00,FORMT,4.01,4.15,4.01,4.11,19120539.0,0.04,0.1,0.0,3233.33,0.1,7188440.2,165.99,0.4,True,56.42,-0.0,-0.01,0.01,2025-11-12,3.97,3.53,0,,3.91,4.33,False,False
12-11-2025 10:00,TSPOR,1.28,1.32,1.28,1.31,141258113.0,0.01,0.03,0.01,400.0,0.03,83938704.6,68.29,0.33,True,51.75,-0.02,0.0,-0.02,2025-11-12,1.27,3.15,0,,1.29,1.38,True,False
11-11-2025 17:00,GLYHO,11.27,11.46,11.26,11.43,2402376.0,0.03,0.16,0.02,841.18,0.16,1480740.8,62.24,0.19,True,51.25,-0.04,-0.0,-0.03,2025-11-11,11.39,0.35,0,,10.89,11.65,False,False
11-11-2025 17:00,MEKAG,4.35,4.53,4.33,4.49,1884152.0,0.04,0.14,0.0,4566.67,0.14,940627.4,100.31,0.29,True,55.79,-0.05,0.01,-0.06,2025-11-11,4.49,0.0,0,,ATL,4.84,True,True
11-11-2025 17:00,DCTTR,29.12,29.9,29.04,29.84,710432.0,0.06,0.72,0.06,1185.71,0.72,447056.3,58.91,0.08,True,50.04,-0.42,0.06,-0.47,2025-11-11,29.34,1.7,0,,ATL,32.82,True,False
11-11-2025 17:00,FRIGO,11.86,12.11,11.74,12.11,2726659.0,0.0,0.25,0.0,12400.0,0.25,1564822.1,74.25,0.0,True,52.72,0.02,-0.03,0.05,2025-11-11,12.12,-0.08,0,,11.9,12.24,False,False
11-11-2025 17:00,ODINE,281.0,300.0,279.75,296.75,896321.0,3.25,15.75,1.5,950.0,15.75,393415.4,127.83,0.21,True,83.82,8.73,0.15,8.58,2025-11-11,280.5,5.79,0,,260.5,ATH,False,False
11-11-2025 17:00,DMRGD,26.36,27.2,26.32,27.0,1265212.0,0.2,0.64,0.14,370.59,0.64,625478.8,102.28,0.31,True,63.49,0.05,0.2,-0.15,2025-11-11,25.3,6.72,0,,24.82,27.62,False,False
11-11-2025 16:00,AHSGY,52.35,54.15,52.3,53.85,257985.0,0.3,1.5,0.21,597.67,1.5,127984.7,101.57,0.2,True,49.74,-0.77,0.11,-0.88,2025-11-11,52.95,1.7,0,,53.15,60.3,True,True
11-11-2025 16:00,ULUFA,3.7,3.94,3.67,3.88,24521736.0,0.06,0.18,0.01,2471.43,0.18,5108119.6,380.05,0.33,True,59.58,-0.03,0.01,-0.04,2025-11-11,3.77,2.92,0,,3.6,3.98,False,False
11-11-2025 16:00,CEMAS,5.3,5.8,5.28,5.8,42976056.0,0.0,0.5,0.04,1062.79,0.5,8298126.3,417.9,0.0,True,74.61,-0.01,0.03,-0.05,2025-11-11,5.28,9.85,0,,5.45,ATH,True,True
11-11-2025 16:00,SKBNK,8.24,8.52,8.14,8.5,18709150.0,0.02,0.26,0.01,1900.0,0.26,7622787.1,145.44,0.08,True,63.21,0.03,-0.0,0.03,2025-11-11,8.41,1.07,0,,8.01,ATH,False,False
11-11-2025 15:00,FENER,10.38,11.15,10.36,11.15,72379397.0,0.0,0.77,0.09,719.15,0.77,10860556.1,566.44,0.0,True,80.01,0.09,0.07,0.02,2025-11-11,10.14,9.96,0,,9.95,ATH,False,False
11-11-2025 15:00,EDATA,5.52,5.58,5.42,5.58,2362575.0,0.0,0.06,0.0,1900.0,0.06,711440.0,232.08,0.0,True,45.1,-0.03,-0.0,-0.03,2025-11-11,5.63,-0.89,0,,5.55,5.73,True,True
11-11-2025 15:00,BAHKM,52.35,53.25,51.2,53.25,287146.0,0.0,0.9,0.06,1536.36,0.9,105128.6,173.14,0.0,True,47.23,-0.53,0.09,-0.63,2025-11-11,52.3,1.82,0,,53.2,54.3,True,True
11-11-2025 15:00,MHRGY,3.86,4.14,3.74,4.14,4918476.0,0.0,0.28,0.01,3400.0,0.28,2630073.0,87.01,0.0,True,62.73,-0.0,-0.01,0.0,2025-11-11,4.0,3.5,0,,3.8,4.21,False,False
11-11-2025 14:00,SEYKM,6.23,6.48,6.21,6.48,258116.0,0.0,0.25,0.05,431.91,0.25,96049.0,168.73,0.0,True,62.29,-0.01,0.03,-0.04,2025-11-11,6.1,6.23,0,,5.99,6.49,False,False
11-11-2025 13:00,CGCAM,34.7,35.82,34.68,35.52,751397.0,0.3,0.82,0.02,4455.56,0.82,376003.9,99.84,0.37,True,51.94,-0.41,0.12,-0.54,2025-11-11,34.78,2.13,0,,34.14,36.8,True,False
11-11-2025 12:00,AKYHO,3.06,3.18,3.06,3.18,1019523.0,0.0,0.12,0.01,1233.33,0.12,332026.3,207.06,0.0,True,60.24,-0.01,0.0,-0.02,2025-11-11,3.1,2.58,0,,3.05,3.19,False,False
11-11-2025 12:00,KZBGY,14.0,14.28,13.99,14.22,2236585.0,0.06,0.22,0.01,3042.86,0.22,1454041.8,53.82,0.27,True,35.24,-0.4,0.03,-0.43,2025-11-11,13.95,1.94,0,,13.8,16.2,False,False
11-11-2025 12:00,KLYPV,58.3,60.85,58.2,60.75,432308.0,0.1,2.45,0.15,1533.33,2.45,143530.6,201.2,0.04,True,62.87,-0.22,0.05,-0.27,2025-11-11,58.75,3.4,0,,59.15,61.4,True,True
11-11-2025 12:00,AHGAZ,27.98,29.0,27.84,28.92,1775938.0,0.08,0.94,0.11,724.56,0.94,697493.1,154.62,0.09,True,70.2,0.05,0.13,-0.08,2025-11-11,27.62,4.71,0,,27.26,29.3,False,False
11-11-2025 11:00,ICUGS,3.04,3.23,3.03,3.2,10983144.0,0.03,0.16,0.01,1677.78,0.16,3318330.5,230.98,0.19,True,48.72,-0.06,-0.0,-0.05,2025-11-11,3.11,2.89,1,3.23,3.17,3.23,True,True
11-11-2025 11:00,IEYHO,48.44,50.35,48.44,50.25,15462156.0,0.1,1.81,0.09,1933.71,1.81,8113079.2,90.58,0.06,True,65.09,1.51,-0.27,1.78,2025-11-11,48.06,4.56,0,,39.16,ATH,False,False
11-11-2025 11:00,AEFES,14.37,14.56,14.36,14.53,18292285.0,0.03,0.16,0.02,742.11,0.16,7389422.0,147.55,0.19,True,56.06,-0.06,0.02,-0.08,2025-11-11,14.21,2.25,0,,14.28,14.59,True,True
11-11-2025 10:00,KRVGD,2.63,2.65,2.56,2.65,2360530.0,0.0,0.02,0.0,900.0,0.02,812927.0,190.37,0.0,True,60.19,-0.0,0.01,-0.01,2025-11-11,2.63,0.76,1,2.65,2.58,2.69,False,False
11-11-2025 10:00,ECILC,82.4,88.0,82.3,86.65,4486734.0,1.35,4.25,0.45,844.44,4.25,1777958.6,152.35,0.32,True,63.27,-0.22,0.56,-0.78,2025-11-11,82.0,5.67,1,88.0,74.0,88.0,False,False
11-11-2025 10:00,EGGUB,104.8,111.6,103.5,110.0,673043.0,1.6,5.2,0.67,676.12,5.2,168779.0,298.77,0.31,True,62.91,-0.49,0.62,-1.11,2025-11-11,104.1,5.67,1,111.6,99.9,111.6,False,False
11-11-2025 10:00,AGHOL,26.34,27.0,26.16,26.92,2212196.0,0.08,0.58,0.01,9566.67,0.58,674342.0,228.05,0.14,True,62.07,0.02,-0.03,0.05,2025-11-11,26.34,2.2,2,26.16,26.16,27.12,False,False
11-11-2025 10:00,YAYLA,32.06,34.2,32.06,33.72,1214426.0,0.48,1.66,0.07,2415.15,1.66,302015.6,302.11,0.29,True,70.61,0.44,0.08,0.36,2025-11-11,32.34,4.27,1,34.2,30.66,34.2,False,False
11-11-2025 10:00,TNZTP,23.04,23.96,22.82,23.82,1457543.0,0.14,0.78,0.1,712.5,0.78,324764.3,348.8,0.18,True,76.62,0.19,0.08,0.1,2025-11-11,22.96,3.75,1,23.96,22.18,23.96,False,False
11-11-2025 10:00,MARBL,14.51,14.96,14.13,14.96,1186742.0,0.0,0.45,0.04,922.73,0.45,411955.0,188.08,0.0,True,68.74,0.13,0.05,0.09,2025-11-11,14.45,3.53,3,,13.93,ATH,False,False
11-11-2025 10:00,BMSCH,20.0,20.94,19.83,20.7,868711.0,0.24,0.7,0.07,900.0,0.7,256622.2,238.52,0.34,True,49.23,-0.33,-0.0,-0.33,2025-11-11,20.0,3.5,1,20.94,19.4,20.94,True,True
11-11-2025 10:00,LRSHO,5.88,6.08,5.81,6.07,11001708.0,0.01,0.19,0.02,955.56,0.19,3025670.3,263.61,0.05,True,57.28,-0.04,0.01,-0.06,2025-11-11,5.87,3.41,0,,5.78,6.19,True,True
11-11-2025 10:00,LIDFA,4.31,4.6,4.3,4.52,21009779.0,0.08,0.21,0.02,1300.0,0.21,3255589.8,545.34,0.38,True,76.71,0.04,0.02,0.02,2025-11-11,4.22,7.11,1,4.6,4.11,4.6,False,False
11-11-2025 10:00,GIPTA,67.0,69.9,66.55,69.3,1571675.0,0.6,2.3,0.14,1603.7,2.3,746127.5,110.64,0.26,True,34.2,-4.19,0.42,-4.61,2025-11-11,66.85,3.66,2,66.55,66.55,92.4,True,True
11-11-2025 10:00,GLRYH,4.93,5.14,4.84,5.09,21343849.0,0.05,0.16,0.03,416.13,0.16,3711124.8,475.13,0.31,True,74.7,0.04,0.04,-0.0,2025-11-11,4.8,6.04,0,,4.59,5.14,False,False
11-11-2025 10:00,KLRHO,131.5,134.8,129.4,134.8,407106.0,0.0,3.3,0.3,1000.0,3.3,178651.3,127.88,0.0,True,53.57,-0.44,-0.15,-0.28,2025-11-11,131.7,2.35,2,129.4,129.4,142.0,False,False
11-11-2025 10:00,BMSTL,81.55,82.9,81.55,82.65,249168.0,0.25,1.1,0.12,856.52,1.1,128697.4,93.61,0.23,True,59.08,0.52,-0.2,0.72,2025-11-11,82.0,0.79,0,,81.3,84.2,False,False
10-11-2025 17:00,YIGIT,25.86,26.44,25.8,26.38,506015.0,0.06,0.52,0.01,4233.33,0.52,173325.5,191.94,0.12,True,53.02,-0.16,0.01,-0.17,2025-11-10,26.18,0.76,0,,26.3,27.06,True,True
10-11-2025 17:00,DOFER,60.8,62.05,60.4,62.05,198975.0,0.0,1.25,0.03,4066.67,1.25,109122.0,82.34,0.0,True,53.07,-0.05,-0.08,0.03,2025-11-10,62.0,0.08,0,,59.9,63.45,False,False
10-11-2025 17:00,SOKM,47.92,48.46,47.88,48.36,1613232.0,0.1,0.44,0.07,547.06,0.44,677325.3,138.18,0.23,True,60.69,0.32,-0.04,0.36,2025-11-10,47.64,1.51,0,,47.26,48.56,False,False
10-11-2025 17:00,KONKA,15.15,15.54,15.02,15.43,944582.0,0.11,0.28,0.02,1650.0,0.28,314540.0,200.31,0.39,True,55.26,-0.1,0.03,-0.13,2025-11-10,15.08,2.32,1,15.54,14.8,15.54,True,False
10-11-2025 17:00,KLKIM,31.96,32.36,31.88,32.36,389702.0,0.0,0.4,0.01,3900.0,0.4,174233.1,123.67,0.0,True,41.79,-0.35,0.02,-0.37,2025-11-10,32.3,0.19,0,,ATL,32.84,True,True
10-11-2025 16:00,AVHOL,43.34,44.62,43.34,44.28,371163.0,0.34,0.94,0.13,646.03,0.94,157386.0,135.83,0.36,True,59.04,-0.23,0.14,-0.37,2025-11-10,42.88,3.26,0,,42.6,45.96,True,False
10-11-2025 16:00,PRKAB,38.6,42.1,38.6,41.12,1193991.0,0.98,2.52,0.17,1382.35,2.52,216515.4,451.46,0.39,True,61.86,-0.36,0.13,-0.49,2025-11-10,38.8,5.98,1,42.1,39.6,42.1,True,True
10-11-2025 15:00,GWIND,24.64,25.1,24.58,25.08,716022.0,0.02,0.44,0.03,1366.67,0.44,358511.7,99.72,0.05,True,56.97,-0.12,0.04,-0.16,2025-11-10,24.58,2.03,0,,24.36,25.18,True,False
10-11-2025 15:00,ANELE,15.78,15.99,15.72,15.95,143579.0,0.04,0.17,0.01,1445.45,0.17,68308.9,110.19,0.24,True,51.31,-0.05,-0.0,-0.04,2025-11-10,15.95,0.0,0,,15.74,16.19,False,False
10-11-2025 15:00,BULGS,42.96,44.9,42.82,44.9,6356050.0,0.0,1.94,0.33,480.84,1.94,2412196.9,163.5,0.0,True,66.28,-0.21,0.4,-0.61,2025-11-10,40.82,10.0,0,,40.18,52.15,False,False
