Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
25-04-2025 11:00,FONET,14.88,15.19,14.85,15.12,1116762.0,0.07,0.24,0.02,1100.0,0.24,417195.5,167.68,0.29,True,57.61,2025-04-25,14.86,1.75,0,,14.63,15.5,False,False
25-04-2025 11:00,EPLAS,4.68,4.8,4.68,4.8,1048968.0,0.0,0.12,0.02,566.67,0.12,321389.7,226.39,0.0,True,70.46,2025-04-25,4.67,2.78,0,,4.55,4.9,False,False
25-04-2025 11:00,ANSGR,87.55,88.9,87.55,88.75,498706.0,0.15,1.2,0.34,258.21,1.2,238458.2,109.14,0.13,True,60.32,2025-04-25,86.8,2.25,0,,85.35,90.55,False,False
25-04-2025 11:00,SASA,4.08,4.14,4.07,4.13,137673251.0,0.01,0.05,0.0,1150.0,0.05,67934641.9,102.66,0.2,True,52.39,2025-04-25,4.11,0.49,0,,4.07,4.29,True,False
25-04-2025 11:00,NTHOL,37.34,37.6,37.34,37.54,113034.0,0.06,0.2,0.04,426.32,0.2,74902.9,50.91,0.3,True,69.43,2025-04-25,37.06,1.3,0,,36.6,38.08,False,False
25-04-2025 11:00,OZYSR,22.36,22.54,22.36,22.5,164086.0,0.04,0.14,0.03,366.67,0.14,74093.1,121.46,0.29,True,59.93,2025-04-25,22.3,0.9,0,,21.84,23.0,False,False
25-04-2025 11:00,IMASM,2.51,2.55,2.51,2.55,3714659.0,0.0,0.04,0.01,566.67,0.04,1334889.2,178.27,0.0,True,78.6,2025-04-25,2.5,2.0,0,,2.46,2.64,False,False
25-04-2025 11:00,KNFRT,10.84,11.06,10.83,11.06,355558.0,0.0,0.22,0.02,856.52,0.22,180158.4,97.36,0.0,True,57.62,2025-04-25,10.78,2.6,0,,11.03,11.23,True,False
25-04-2025 11:00,GLRMK,140.0,143.2,139.9,142.6,1119824.0,0.6,2.6,0.18,1344.44,2.6,330723.3,238.6,0.23,True,54.8,2025-04-25,138.4,3.03,0,,138.6,173.2,True,False
25-04-2025 11:00,BULGS,30.14,31.44,30.12,31.3,8068596.0,0.14,1.16,0.3,286.67,1.16,3426067.1,135.51,0.12,True,73.84,2025-04-25,28.9,8.3,0,,26.78,31.34,False,False
25-04-2025 11:00,BUCIM,7.9,8.05,7.88,8.02,2204351.0,0.03,0.12,0.02,566.67,0.12,826537.1,166.7,0.25,True,70.5,2025-04-25,7.88,1.78,0,,7.63,8.2,False,False
25-04-2025 11:00,GLCVY,64.05,66.0,63.95,65.75,275130.0,0.25,1.7,0.24,608.33,1.7,157512.3,74.67,0.15,True,68.2,2025-04-25,64.3,2.26,0,,58.45,ATH,False,False
25-04-2025 11:00,SERNT,10.19,10.49,10.13,10.49,6626991.0,0.0,0.3,0.06,383.87,0.3,2091292.9,216.88,0.0,True,71.75,2025-04-25,9.96,5.32,0,,9.72,11.7,False,False
25-04-2025 11:00,MARBL,11.25,11.32,11.23,11.31,221564.0,0.01,0.06,0.01,445.45,0.06,121320.8,82.63,0.17,True,55.35,2025-04-25,11.22,0.8,0,,11.14,11.34,True,False
25-04-2025 11:00,MNDRS,9.06,9.22,9.06,9.21,329596.0,0.01,0.15,0.03,383.87,0.15,202185.0,63.02,0.07,True,69.49,2025-04-25,8.93,3.14,0,,8.72,9.33,False,False
25-04-2025 11:00,LRSHO,2.5,2.72,2.48,2.72,56622681.0,0.0,0.22,0.03,714.81,0.22,7244733.7,681.57,0.0,True,82.17,2025-04-25,2.48,9.68,0,,2.43,ATH,False,False
25-04-2025 11:00,ADESE,2.0,2.16,1.99,2.14,34551797.0,0.02,0.14,0.02,483.33,0.14,9031981.2,282.55,0.14,True,89.02,2025-04-25,1.98,8.08,0,,1.86,ATH,False,False
25-04-2025 10:00,HUBVC,1.67,1.75,1.63,1.75,1797267.0,0.0,0.08,0.01,700.0,0.08,380620.4,372.19,0.0,True,71.37,2025-04-25,1.66,5.42,0,,1.59,1.8,False,False
25-04-2025 10:00,ISFIN,12.85,13.03,12.81,13.0,856788.0,0.03,0.15,0.02,500.0,0.15,332316.8,157.82,0.2,True,62.71,2025-04-25,12.78,1.72,0,,ATL,13.54,True,False
25-04-2025 10:00,CEMAS,4.89,5.26,4.81,5.19,8858624.0,0.07,0.3,0.03,757.14,0.3,2127519.0,316.38,0.23,True,48.37,2025-04-25,4.97,4.43,0,,4.76,6.12,False,False
25-04-2025 10:00,ULKER,111.5,113.3,110.9,113.1,2375331.0,0.2,1.6,0.37,332.43,1.6,817254.2,190.65,0.13,True,71.29,2025-04-25,110.9,1.98,0,,108.1,ATH,False,False
25-04-2025 10:00,BRKVY,61.15,62.85,61.0,62.85,333883.0,0.0,1.7,0.14,1159.26,1.7,107524.2,210.52,0.0,True,56.76,2025-04-25,61.6,2.03,0,,61.3,64.7,False,False
25-04-2025 10:00,BOSSA,6.36,6.44,6.33,6.42,1297578.0,0.02,0.06,0.01,361.54,0.06,278168.9,366.47,0.33,True,66.98,2025-04-25,6.32,1.58,0,,6.08,6.58,False,False
25-04-2025 10:00,OBAMS,70.65,72.15,69.8,71.9,1204526.0,0.25,1.25,0.23,431.91,1.25,481426.2,150.2,0.2,True,61.23,2025-04-25,70.45,2.06,0,,67.9,72.0,False,False
25-04-2025 10:00,ULUUN,5.89,6.39,5.89,6.35,8360255.0,0.04,0.46,0.05,784.62,0.46,1041615.9,702.62,0.09,True,79.57,2025-04-25,5.93,7.08,0,,5.78,ATH,False,False
25-04-2025 10:00,BMSTL,45.14,45.58,45.04,45.56,576917.0,0.02,0.42,0.05,740.0,0.42,185965.1,210.23,0.05,True,64.19,2025-04-25,45.1,1.02,0,,44.7,45.72,False,False
25-04-2025 10:00,SMRVA,93.85,100.9,92.0,99.15,1117706.0,1.75,5.3,0.53,900.0,5.3,165852.7,573.91,0.33,True,92.44,2025-04-25,91.75,8.07,0,,64.65,ATH,False,False
25-04-2025 10:00,DERHL,117.1,125.0,116.3,125.0,783401.0,0.0,7.9,0.95,731.58,7.9,197941.1,295.77,0.0,True,91.2,2025-04-25,115.1,8.6,0,,70.0,ATH,False,False
25-04-2025 10:00,DNISI,24.16,24.58,24.04,24.56,454043.0,0.02,0.4,0.0,9900.0,0.4,114636.6,296.07,0.05,True,54.07,2025-04-25,24.14,1.74,0,,23.08,26.02,False,False
25-04-2025 10:00,DMRGD,16.87,17.69,16.59,17.5,2019862.0,0.19,0.63,0.01,6900.0,0.63,674258.1,199.57,0.3,True,52.18,2025-04-25,16.54,5.8,0,,ATL,19.33,True,True
25-04-2025 10:00,TERA,90.95,95.3,89.35,95.3,2955920.0,0.0,4.35,1.03,320.29,4.35,811957.4,264.05,0.0,True,89.97,2025-04-25,86.65,9.98,0,,63.8,ATH,False,False
25-04-2025 10:00,MGROS,490.5,496.75,488.25,496.25,380829.0,0.5,5.75,1.15,400.0,5.75,185300.0,105.52,0.09,True,65.09,2025-04-25,488.25,1.64,0,,477.5,500.5,False,False
25-04-2025 10:00,TATGD,11.5,11.6,11.47,11.58,474003.0,0.02,0.08,0.01,627.27,0.08,134465.2,252.51,0.25,True,57.76,2025-04-25,11.51,0.61,0,,10.79,11.64,False,False
25-04-2025 10:00,PNSUT,8.35,8.51,8.34,8.47,551170.0,0.04,0.12,0.03,361.54,0.12,113925.1,383.8,0.33,True,78.19,2025-04-25,8.34,1.56,0,,8.15,8.9,False,False
25-04-2025 10:00,TAVHL,223.9,230.2,223.6,229.8,1501098.0,0.4,5.9,0.43,1272.09,5.9,389999.8,284.9,0.07,True,50.03,2025-04-25,229.1,0.31,0,,226.5,233.5,True,False
25-04-2025 10:00,ESCOM,2.51,2.57,2.51,2.56,1456861.0,0.01,0.05,0.01,900.0,0.05,629344.7,131.49,0.2,True,60.02,2025-04-25,2.51,1.99,0,,2.43,2.59,False,False
25-04-2025 10:00,TEKTU,3.9,3.98,3.89,3.96,1160529.0,0.02,0.06,0.01,445.45,0.06,773343.0,50.07,0.33,True,59.51,2025-04-25,3.88,2.06,0,,3.81,4.01,False,False
25-04-2025 10:00,MOPAS,24.64,25.7,24.24,25.62,1528892.0,0.08,0.98,0.18,456.82,0.98,367266.8,316.29,0.08,True,64.44,2025-04-25,24.2,5.87,0,,23.7,27.7,True,False
25-04-2025 10:00,SOKE,10.8,11.78,10.76,11.78,4301822.0,0.0,0.98,0.09,931.58,0.98,512999.5,738.56,0.0,True,87.25,2025-04-25,10.71,9.99,0,,10.61,ATH,True,False
25-04-2025 10:00,MTRKS,21.26,21.6,21.24,21.52,292163.0,0.08,0.26,0.01,2500.0,0.26,83357.5,250.49,0.31,True,64.24,2025-04-25,21.24,1.32,0,,20.6,21.62,False,False
25-04-2025 10:00,GLYHO,6.94,7.07,6.91,7.05,2835769.0,0.02,0.11,0.02,400.0,0.11,1721008.1,64.77,0.18,True,53.28,2025-04-25,6.93,1.73,0,,6.46,7.69,False,False
25-04-2025 10:00,EDIP,20.9,22.4,20.78,22.08,2619488.0,0.32,1.18,0.13,793.94,1.18,335778.5,680.12,0.27,True,76.0,2025-04-25,20.5,7.71,0,,20.18,ATH,False,False
