Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
22-10-2025 10:00,A1CAP,12.07,12.42,11.98,12.35,5888141.0,0.07,0.28,0.02,1650.0,0.28,2088958.4,181.87,0.25,True,58.25,0.02,0.02,0.0,2025-10-22,12.09,2.15,0,,11.08,12.46,False,False
22-10-2025 10:00,ENDAE,15.65,16.06,15.65,16.05,544683.0,0.01,0.4,0.04,981.08,0.4,176231.6,209.07,0.02,True,63.98,0.03,0.01,0.02,2025-10-22,15.6,2.88,0,,15.5,16.3,False,False
22-10-2025 10:00,SEGYO,4.19,4.25,4.19,4.25,1842158.0,0.0,0.06,0.0,5900.0,0.06,612267.4,200.87,0.0,True,60.13,0.0,0.01,-0.0,2025-10-22,4.19,1.43,0,,4.07,4.28,False,False
22-10-2025 10:00,SERNT,10.03,10.09,9.93,10.09,1405260.0,0.0,0.06,0.01,1100.0,0.06,603226.5,132.96,0.0,True,59.94,0.03,0.01,0.02,2025-10-22,10.0,0.9,0,,9.55,10.13,False,False
22-10-2025 10:00,LMKDC,24.28,24.62,24.24,24.58,1181517.0,0.04,0.3,0.03,971.43,0.3,687151.9,71.94,0.13,True,57.19,-0.07,0.06,-0.13,2025-10-22,24.18,1.65,0,,23.84,25.04,False,False
22-10-2025 10:00,ENKAI,71.45,73.2,71.1,72.9,5177739.0,0.3,1.45,0.05,3122.22,1.45,1449483.9,257.21,0.21,True,62.25,0.26,0.01,0.25,2025-10-22,71.2,2.39,0,,69.2,74.2,False,False
22-10-2025 10:00,BMSTL,63.6,64.75,63.4,64.55,281351.0,0.2,0.95,0.09,955.56,0.95,140613.9,100.09,0.21,True,62.97,-0.03,0.14,-0.17,2025-10-22,62.95,2.54,0,,62.5,66.55,False,False
22-10-2025 10:00,SILVR,2.92,2.95,2.83,2.95,1207830.0,0.0,0.03,0.0,2900.0,0.03,555200.4,117.55,0.0,True,41.58,-0.04,0.0,-0.04,2025-10-22,2.92,1.03,0,,2.9,3.18,True,True
22-10-2025 10:00,SKTAS,4.71,4.93,4.69,4.87,3320677.0,0.06,0.16,0.03,433.33,0.16,1020562.9,225.38,0.37,True,64.84,0.04,0.02,0.02,2025-10-22,4.67,4.28,0,,4.44,4.95,False,False
22-10-2025 10:00,ESCOM,3.15,3.19,3.14,3.18,5085072.0,0.01,0.03,0.0,1400.0,0.03,2367411.7,114.79,0.33,True,34.9,-0.05,-0.0,-0.04,2025-10-22,3.16,0.63,0,,3.11,3.62,False,False
22-10-2025 10:00,SOKM,42.0,42.84,41.56,42.76,2574329.0,0.08,0.76,0.04,1900.0,0.76,1000659.6,157.26,0.11,True,68.54,0.62,-0.08,0.7,2025-10-22,42.04,1.71,0,,37.6,ATH,False,False
22-10-2025 10:00,SRVGY,2.97,3.03,2.95,3.02,6026794.0,0.01,0.05,0.0,2400.0,0.05,2218647.4,171.64,0.2,True,63.63,0.0,0.01,-0.0,2025-10-22,2.95,2.37,0,,2.93,3.08,False,False
22-10-2025 10:00,SURGY,44.44,44.92,44.1,44.8,405681.0,0.12,0.36,0.04,718.18,0.36,160287.4,153.1,0.33,True,59.11,-0.06,0.06,-0.12,2025-10-22,44.46,0.76,0,,44.22,47.0,True,False
22-10-2025 10:00,KRDMA,28.46,29.16,28.34,29.04,810436.0,0.12,0.58,0.08,625.0,0.58,266199.1,204.45,0.21,True,66.6,0.16,0.18,-0.01,2025-10-22,28.22,2.91,0,,26.82,30.6,False,False
22-10-2025 10:00,TAVHL,236.0,250.25,234.6,246.6,1161174.0,3.65,10.6,1.45,631.03,10.6,343489.2,238.05,0.34,True,83.21,3.17,1.08,2.09,2025-10-22,236.0,4.49,0,,227.2,ATH,False,False
22-10-2025 10:00,BARMA,19.04,19.38,18.99,19.3,789430.0,0.08,0.26,0.03,766.67,0.26,284615.4,177.37,0.31,True,60.24,0.02,0.03,-0.01,2025-10-22,18.96,1.79,0,,18.68,19.4,False,False
22-10-2025 10:00,TCELL,97.3,99.05,96.8,99.0,4443730.0,0.05,1.7,0.16,962.5,1.7,1816694.8,144.61,0.03,True,72.14,0.67,0.2,0.47,2025-10-22,96.95,2.11,0,,91.55,100.4,False,False
22-10-2025 10:00,SAHOL,77.95,79.2,77.6,79.1,10812115.0,0.1,1.15,0.04,2455.56,1.15,4853015.6,122.79,0.09,True,66.53,0.21,0.21,0.0,2025-10-22,77.45,2.13,0,,74.1,79.85,False,False
22-10-2025 10:00,RYSAS,15.09,15.39,15.09,15.32,2185036.0,0.07,0.23,0.06,310.71,0.23,951477.0,129.65,0.3,True,77.25,0.29,0.06,0.23,2025-10-22,15.0,2.13,0,,13.45,15.63,False,False
22-10-2025 10:00,TOASO,255.25,261.5,255.25,260.5,1082605.0,1.0,5.25,0.38,1300.0,5.25,436037.0,148.28,0.19,True,64.15,0.95,0.57,0.38,2025-10-22,255.0,2.16,0,,244.1,ATH,False,False
22-10-2025 10:00,EGSER,3.29,3.33,3.29,3.32,467493.0,0.01,0.03,0.0,1400.0,0.03,207534.6,125.26,0.33,True,60.96,0.01,0.0,0.01,2025-10-22,3.29,0.91,0,,3.13,3.35,False,False
22-10-2025 10:00,PATEK,27.08,28.38,27.0,28.26,9570402.0,0.12,1.18,0.09,1211.11,1.18,2773884.2,245.02,0.1,True,62.74,-0.04,0.22,-0.26,2025-10-22,26.9,5.06,0,,25.82,30.06,False,False
22-10-2025 10:00,PCILT,19.49,19.78,19.41,19.78,318531.0,0.0,0.29,0.04,705.56,0.29,175516.5,81.48,0.0,True,56.81,-0.11,0.1,-0.21,2025-10-22,19.4,1.96,0,,18.59,21.44,False,False
22-10-2025 10:00,CUSAN,24.62,25.22,24.62,25.1,263186.0,0.12,0.48,0.04,1163.16,0.48,95644.3,175.17,0.25,True,55.19,-0.12,0.03,-0.15,2025-10-22,24.62,1.95,0,,24.66,26.32,False,False
22-10-2025 10:00,DITAS,24.2,26.32,24.2,26.32,1533596.0,0.0,2.12,0.19,1027.66,2.12,203713.4,652.82,0.0,True,66.68,-0.19,0.17,-0.37,2025-10-22,23.94,9.94,0,,24.7,27.6,True,False
22-10-2025 10:00,MHRGY,3.66,3.71,3.63,3.7,2144318.0,0.01,0.04,0.0,1900.0,0.04,613756.3,249.38,0.25,True,54.84,-0.01,0.0,-0.01,2025-10-22,3.63,1.93,0,,3.59,3.73,False,False
22-10-2025 10:00,PGSUS,211.0,212.5,209.7,212.1,4600144.0,0.4,1.1,0.02,5400.0,1.1,1860051.2,147.31,0.36,True,61.79,0.63,0.14,0.49,2025-10-22,210.3,0.86,0,,200.9,212.6,False,False
22-10-2025 10:00,PINSU,13.29,14.4,13.29,14.38,10590142.0,0.02,1.09,0.05,2170.83,1.09,2539646.5,316.99,0.02,True,59.16,-0.16,-0.02,-0.13,2025-10-22,13.29,8.2,0,,14.02,15.43,False,False
22-10-2025 10:00,MGROS,435.75,447.25,432.0,447.25,943256.0,0.0,11.5,0.35,3185.71,11.5,251740.7,274.69,0.0,True,66.11,0.21,0.45,-0.24,2025-10-22,432.0,3.53,0,,421.25,459.5,False,False
22-10-2025 10:00,DZGYO,6.43,6.59,6.4,6.57,1362053.0,0.02,0.14,0.01,976.92,0.14,465996.4,192.29,0.14,True,61.46,-0.02,0.02,-0.04,2025-10-22,6.4,2.66,0,,6.31,6.87,False,False
22-10-2025 10:00,PRDGS,6.08,6.15,6.03,6.15,360862.0,0.0,0.07,0.0,1650.0,0.07,180229.8,100.22,0.0,True,68.32,0.02,0.02,0.0,2025-10-22,6.07,1.32,0,,5.86,6.26,False,False
22-10-2025 10:00,CCOLA,50.65,52.05,50.4,51.8,3091127.0,0.25,1.15,0.21,458.25,1.15,1210401.3,155.38,0.22,True,75.19,0.75,0.03,0.72,2025-10-22,50.6,2.37,0,,46.26,ATH,False,False
22-10-2025 10:00,CANTE,1.98,2.0,1.97,2.0,103004747.0,0.0,0.02,0.0,1900.0,0.02,33918062.2,203.69,0.0,True,53.04,-0.01,0.0,-0.01,2025-10-22,1.97,1.52,0,,1.93,2.01,False,False
22-10-2025 10:00,MARBL,13.3,13.47,13.28,13.43,548768.0,0.04,0.13,0.0,6400.0,0.13,183045.2,199.8,0.31,True,49.5,-0.09,0.01,-0.1,2025-10-22,13.25,1.36,0,,13.2,14.71,True,True
22-10-2025 10:00,EGEGY,24.38,25.08,24.32,24.96,197101.0,0.12,0.58,0.06,835.48,0.58,88437.3,122.87,0.21,True,66.74,0.15,0.12,0.03,2025-10-22,24.32,2.63,0,,23.08,25.54,False,False
22-10-2025 10:00,BUCIM,6.15,6.2,6.15,6.19,1261408.0,0.01,0.04,0.0,3900.0,0.04,598913.6,110.62,0.25,True,60.67,0.01,0.0,0.01,2025-10-22,6.14,0.81,0,,5.99,6.38,False,False
22-10-2025 10:00,OZYSR,32.5,33.14,32.1,33.02,280814.0,0.12,0.52,0.12,319.35,0.52,98310.5,185.64,0.23,True,68.11,0.28,0.15,0.14,2025-10-22,32.7,0.98,0,,30.5,34.88,False,False
22-10-2025 10:00,TEZOL,12.79,13.03,12.78,12.99,638565.0,0.04,0.2,0.04,387.8,0.2,266124.0,139.95,0.2,True,68.57,0.04,0.06,-0.01,2025-10-22,12.73,2.04,0,,12.17,13.44,False,False
22-10-2025 10:00,ISCTR,12.11,12.23,12.05,12.2,151947116.0,0.03,0.09,0.02,350.0,0.09,55519150.2,173.68,0.33,True,74.33,0.15,0.04,0.1,2025-10-22,12.06,1.16,0,,11.11,ATH,False,False
22-10-2025 10:00,XU100,10516.45,10651.67,10502.28,10650.21,1502811553.0,1.46,133.76,16.67,702.5,133.76,683761533.0,119.79,0.01,True,73.51,51.79,16.04,35.75,2025-10-22,10467.2,1.75,0,,10053.74,10862.75,False,False
