Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
03-04-2025 09:00,MACKO,110.0,121.2,110.0,119.5,610161.0,1.7,9.5,0.9,955.56,9.5,334081.9,82.64,0.18,True,59.23,2025-04-03,8.44,0,,102.0,121.2,False,False
03-04-2025 09:00,CEMTS,10.86,11.85,10.86,11.85,31044908.0,0.0,0.99,0.16,511.11,0.99,11178183.9,177.73,0.0,True,69.17,2025-04-03,9.93,0,,8.5,ATH,False,False
03-04-2025 09:00,MEGMT,28.9,31.74,28.8,31.24,10598357.0,0.5,2.34,0.26,806.98,2.34,6638541.8,59.65,0.21,True,66.91,2025-04-03,7.95,0,,23.66,32.3,False,False
03-04-2025 09:00,IEYHO,8.95,9.8,8.91,9.8,21554502.0,0.0,0.85,0.14,498.59,0.85,11356214.4,89.8,0.0,True,60.19,2025-04-03,9.99,0,,8.5,10.62,False,False
03-04-2025 09:00,OYAYO,24.96,27.42,23.96,27.36,916925.0,0.06,2.4,0.56,327.05,2.4,235010.8,290.16,0.03,True,70.38,2025-04-03,9.62,0,,19.71,29.04,False,False
03-04-2025 09:00,CRDFA,7.13,7.83,7.08,7.74,2901720.0,0.09,0.61,0.07,759.15,0.61,1451887.7,99.86,0.15,True,64.24,2025-04-03,7.8,0,,6.63,7.93,False,False
03-04-2025 09:00,GOKNR,21.9,23.98,21.8,23.78,11834817.0,0.2,1.88,0.13,1324.24,1.88,6321823.7,87.21,0.11,True,58.48,2025-04-03,8.58,0,,19.5,25.9,False,False
03-04-2025 09:00,SKTAS,5.05,5.48,5.03,5.48,19962956.0,0.0,0.43,0.07,561.54,0.43,5740799.7,247.74,0.0,True,70.63,2025-04-03,9.82,0,,4.25,5.64,False,False
03-04-2025 09:00,ATLAS,4.98,5.47,4.92,5.38,1999224.0,0.09,0.4,0.1,321.05,0.4,1033486.1,93.44,0.22,True,57.27,2025-04-03,8.03,0,,4.6,5.62,False,False
03-04-2025 09:00,AVHOL,33.86,37.24,33.82,37.24,3511751.0,0.0,3.38,0.32,943.21,3.38,1377954.5,154.85,0.0,True,56.7,2025-04-03,9.98,0,,33.42,41.92,False,False
03-04-2025 09:00,BRLSM,15.64,17.24,15.52,17.24,12512362.0,0.0,1.6,0.22,633.94,1.6,5088645.2,145.89,0.0,True,66.74,2025-04-03,9.95,0,,12.2,18.04,False,False
03-04-2025 09:00,BMSCH,13.07,14.37,13.07,14.37,2525354.0,0.0,1.3,0.39,231.9,1.3,1037932.12,143.31,0.0,True,71.41,2025-04-03,9.95,0,,9.9,16.29,False,False
03-04-2025 09:00,ETYAT,9.92,10.6,9.86,10.49,300941.0,0.11,0.57,0.02,3252.94,0.57,196690.6,53.0,0.19,True,53.86,2025-04-03,4.17,0,,8.7,12.0,False,False
02-04-2025 09:00,VANGD,20.62,22.66,20.62,22.66,529918.0,0.0,2.04,0.16,1183.02,2.04,298997.0,77.23,0.0,True,54.02,2025-04-02,10.0,0,,22.22,27.16,True,False
02-04-2025 09:00,MEKAG,41.46,45.6,41.14,45.12,2957395.0,0.48,3.66,0.61,496.09,3.66,1158841.0,155.2,0.13,True,59.28,2025-04-02,8.83,0,,41.02,45.78,False,False
02-04-2025 09:00,KTLEV,64.65,71.1,63.5,71.1,11597675.0,0.0,6.45,0.27,2333.96,6.45,6810754.9,70.28,0.0,True,60.59,2025-04-02,9.98,0,,56.6,75.8,False,False
02-04-2025 09:00,CUSAN,21.82,22.94,21.32,22.76,916923.0,0.18,0.94,0.05,1988.89,0.94,555315.5,65.12,0.19,True,57.79,2025-04-02,4.31,0,,19.96,23.5,False,False
02-04-2025 09:00,BRMEN,5.3,5.9,5.3,5.9,1171966.0,0.0,0.6,0.11,426.32,0.6,332137.3,252.86,0.0,True,67.25,2025-04-02,9.87,0,,4.53,7.1,False,False
02-04-2025 09:00,SEKUR,14.02,15.14,13.95,15.14,1261025.0,0.0,1.12,0.2,462.81,1.12,708511.4,77.98,0.0,True,78.41,2025-04-02,7.99,0,,10.4,ATH,False,False
02-04-2025 09:00,NTGAZ,7.32,8.05,7.27,8.05,17023168.0,0.0,0.73,0.1,660.42,0.73,9700717.1,75.48,0.0,True,69.19,2025-04-02,9.97,0,,5.28,ATH,False,False
02-04-2025 09:00,YGGYO,77.7,82.55,76.8,81.9,540319.0,0.65,4.2,0.69,513.14,4.2,274546.7,96.8,0.15,True,72.39,2025-04-02,5.41,0,,66.15,ATH,False,False
28-03-2025 09:00,FORMT,5.16,5.62,5.1,5.62,33328376.0,0.0,0.46,0.01,3185.71,0.46,21255806.1,56.8,0.0,True,54.09,2025-03-28,9.98,0,,4.58,6.05,False,False
28-03-2025 09:00,CEMAS,3.02,3.28,3.02,3.28,74888323.0,0.0,0.26,0.05,465.22,0.26,19297615.9,288.07,0.0,True,67.77,2025-03-28,9.7,0,,2.79,3.68,False,False
28-03-2025 09:00,POLHO,13.5,14.49,13.38,14.49,15285716.0,0.0,0.99,0.25,292.86,0.99,6580834.3,132.28,0.0,True,74.56,2025-03-28,9.94,0,,10.8,ATH,False,False
27-03-2025 09:00,SELGD,45.46,50.0,45.42,48.96,261062.0,1.04,3.5,0.48,632.22,3.5,152765.9,70.89,0.3,True,53.04,2025-03-27,7.7,0,,45.8,50.45,False,False
27-03-2025 09:00,BAYRK,17.78,19.15,17.55,18.88,7840560.0,0.27,1.1,0.13,746.15,1.1,4529434.2,73.1,0.25,True,64.84,2025-03-27,6.19,0,,16.26,21.84,False,False
27-03-2025 09:00,DSTKF,140.7,155.1,139.5,155.1,2021742.0,0.0,14.4,1.7,747.06,14.4,1270711.5,59.1,0.0,True,67.45,2025-03-27,10.0,0,,ATL,ATH,False,False
26-03-2025 09:00,AGROT,8.01,9.05,7.87,9.05,89872894.0,0.0,1.04,0.07,1475.76,1.04,36647113.9,145.24,0.0,True,50.74,2025-03-26,9.96,0,,8.78,9.83,True,True
26-03-2025 09:00,VERUS,217.0,238.9,213.9,238.9,201069.0,0.0,21.9,0.81,2603.7,21.9,133593.0,50.51,0.0,True,54.59,2025-03-26,9.99,0,,221.9,293.75,True,True
26-03-2025 09:00,SMART,25.8,28.38,25.18,28.38,2851895.0,0.0,2.58,0.1,2587.5,2.58,1258528.7,126.61,0.0,True,48.49,2025-03-26,10.0,0,,26.16,30.48,True,True
26-03-2025 09:00,FONET,13.23,14.55,12.89,14.55,9495842.0,0.0,1.32,0.04,3200.0,1.32,5387902.9,76.24,0.0,True,51.97,2025-03-26,9.98,0,,13.19,16.25,False,False
25-03-2025 09:00,MARBL,10.51,11.44,10.47,11.44,4168026.0,0.0,0.93,0.02,5370.59,0.93,2687172.0,55.11,0.0,True,46.91,2025-03-25,10.0,0,,11.0,12.15,False,False
25-03-2025 09:00,IZFAS,65.7,68.7,63.95,68.0,2703747.0,0.7,2.3,0.05,5011.11,2.3,1633588.0,65.51,0.3,True,49.35,2025-03-25,3.5,0,,63.0,77.0,False,False
